Genes,M_Log2FC,S_Log2FC,GB_log2FC,TTT-GB-Log2fc,Sham_C-1 Counts,Sham_C-2 Counts,Sham_C-3 Counts,TT_Treatment-1 Counts,TT_Treatment-2 Counts,TT_Treatment-3 Counts,GBT-P-adj,MSG_Regulated,Control_GB-TT-Exp,Glioblastoma_TT-Exp,GB-TT-Regulated,GBT-UP,GBT-DOWN,GeneID
Igf1r,-1.917942985,-0.927189808,-0.792248729,0.079590098,8872.451796,9997.342438,9426.098096,9176.050101,8822.177647,11900.36844,0.924299708,1,1,1,0,0,0,ENSMUSG00000005533
Mthfd2,3.857978627,1.823750392,2.258098187,1.501333723,44.85961559,71.37732062,37.46355524,185.3370564,161.0621204,94.3634383,0.000227235,1,1,1,1,1,0,ENSMUSG00000005667
Kit,3.317133589,2.181219914,2.536748371,1.045139603,221.3724508,228.588128,202.0356015,462.7207046,505.7350582,379.8941869,5.36E-07,1,1,1,1,1,0,ENSMUSG00000005672
Ranbp1,0.739647865,1.018057932,0.965390203,0.29724524,132.6284287,190.6406918,161.896078,218.9216237,173.9470901,204.9964349,0.660253853,1,1,1,0,0,0,ENSMUSG00000005732
Mmp8,5.764608129,2.940712335,5.1103021,0.585683978,0,0.903510388,0,0,0,1.626955833,NA,1,0,0,0,0,0,ENSMUSG00000005800
Rsl1d1,0.803678505,0.619013895,0.834574496,0.101200007,514.9103702,553.8518676,662.3021373,611.985448,582.2395654,658.9171122,0.911883992,1,1,1,0,0,0,ENSMUSG00000005846
Ncoa2,-0.502650972,-0.431730236,-0.710287372,-0.105993779,1612.995743,1562.16946,1522.625924,1456.575121,1402.045758,1507.374579,0.849646022,1,1,1,0,0,0,ENSMUSG00000005886
Htra1,-1.122635646,-0.400456926,-1.606663921,-0.366830997,1503.772331,1867.555971,1569.455368,1347.114309,1185.417206,1302.378144,0.079274459,1,1,1,0,0,0,ENSMUSG00000006205
Pgrmc1,-0.330852061,-0.403642225,-0.834931462,-0.035933686,5091.566369,6194.467217,4895.68388,5586.233022,4434.845486,5767.558427,0.973172861,1,1,1,0,0,0,ENSMUSG00000006373
Adamts4,6.42060747,2.796000493,2.440165349,0.557481988,135.5540558,117.4563504,172.5999509,164.1912178,284.2746426,173.2707962,0.24686316,1,1,1,0,0,0,ENSMUSG00000006403
Srm,0.819093319,1.705819016,1.199260992,0.359684872,35.10752524,44.27200899,34.78758701,62.19364309,35.4336665,50.43563081,0.84045438,1,1,1,0,0,0,ENSMUSG00000006442
Cdk4,-0.455107204,0.680625769,0.992697613,0.311837723,284.7610381,343.3339473,199.3596332,292.3101225,382.522536,354.6763715,0.593429288,1,1,1,0,0,0,ENSMUSG00000006728
Mettl1,1.618705388,2.156149654,1.381468846,0.763299508,23.40501683,30.71935318,32.11161878,29.85294868,69.25671179,45.55476332,0.432555676,1,1,1,0,0,0,ENSMUSG00000006732
Sod2,3.807640654,0.887961748,-0.72054069,-0.169409405,966.4321532,933.3262303,1003.488087,881.905859,881.0097988,818.3587838,0.6737321,1,1,1,0,0,0,ENSMUSG00000006818
Ezh1,-0.937585237,-0.522847278,-0.564354209,-0.073408866,1682.235584,1806.117265,1565.441415,1491.403561,1605.789341,1705.863191,0.924299708,1,1,1,0,0,0,ENSMUSG00000006920
Hap1,2.495904178,-1.004210887,0.788707094,0.125981275,314.9925181,195.1582437,267.5968232,286.0907582,346.2835589,215.5716478,0.930584584,1,1,1,0,0,0,ENSMUSG00000006930
Vars1,1.51865771,0.715491187,1.960052699,0.72106649,285.7362471,319.8426772,342.5239336,465.2084503,624.9210273,468.5632798,0.001499141,1,1,1,1,1,0,ENSMUSG00000007029
Clic1,1.204778484,1.040334875,0.770129822,0.47629275,480.778054,565.5975026,491.0401705,639.350651,790.0097007,708.5392651,0.029201051,1,1,1,1,1,0,ENSMUSG00000007041
Ppp2r1a,0.385738675,0.314557982,-0.537930415,-0.161975927,1269.722163,1363.397175,1217.565545,1153.070143,1123.40829,1167.34081,0.677106993,1,1,1,0,0,0,ENSMUSG00000007564
Prpf31,0.540293496,0.679502347,0.67413935,0.040056082,368.629015,398.4480809,392.0293459,412.9657901,374.46943,405.1120023,0.973167914,1,1,1,0,0,0,ENSMUSG00000008373
Rpl10,0.703156115,0.712008805,0.469124718,0.095398244,1572.036964,1817.8629,1403.545337,1695.398711,1588.072507,1841.714003,0.9061369,1,1,1,0,0,0,ENSMUSG00000008682
Gprc5b,0.343305067,-0.428325305,-1.347575051,-0.359212961,1254.118818,990.2473847,1423.615099,968.9769593,938.9921621,948.5152505,0.16407825,1,1,1,0,0,0,ENSMUSG00000008734
