Genes,EC-Log2fC,PC-Log2fC,AC-Log2fC,MC-Log2fC,M_Log2FC,S_Log2FC,GB_log2FC,Contra-Endo-1,Contra-Endo-2,Contra-Endo-3,Contra-Endo-4,Contra-Endo-5,Ipsi-Endo-1,Ipsi-Endo-2,Ipsi-Endo-3,Ipsi-Endo-4,Ipsi-Endo-5,Contra-Peri-1,Contra-Peri-2,Contra-Peri-3,Contra-Peri-4,Contra-Peri-5,Contra-Peri-6,Ipsi-Peri-1,Ipsi-Peri-2,Ipsi-Peri-3,Ipsi-Peri-4,Ipsi-Peri-5,Ipsi-Peri-6,Contra-Astro-1,Contra-Astro-2,Contra-Astro-3,Contra-Astro-4,Contra-Astro-5,Contra-Astro-6,Ipsi-Astro-1,Ipsi-Astro-2,Ipsi-Astro-3,Ipsi-Astro-4,Ipsi-Astro-5,Ipsi-Astro-6,Contra-MG-1,Contra-MG-2,Contra-MG-3,Contra-MG-4,Contra-MG-5,Contra-MG-6,Ipsi-MG-1,Ipsi-MG-2,Ipsi-MG-3,Ipsi-MG-4,Ipsi-MG-5,Ipsi-MG-6,H1,H2,H3,H4,M1,M2,M3,M4,S-SHAM-1,S-SHAM-2,S-SHAM-3,STROKE-1,STROKE-2,STROKE-3,GB-SHAM-1,GB-SHAM-2,GB-SHAM-3,GB-1,GB-2,GB-3,iMSG,Control-EC-exp,EC-EXP,EC-Regulated,Control-PC-exp,PC-EXP,PC-Regulated,Control-AC-exp,AC-EXP,AC-Regulated,Control-MC-exp,MC-EXP,MC-Regulated,GeneID
Slfn4,#N/A,5.341981948,#N/A,#N/A,12.92505927,4.04731456,5.766341558,0,0,0,0,0,0.7292514366,0,5.117704011,0,0,0,0,0,0,0,0,1.300222097,0,29.01852084,0,0.747092482,12.61230732,0,2.103320815,0,0,0,0,0,36.85743239,40.62406636,0,0,0,0,0,0,0,0,0,1.071830455,0,0,0,0,0,0,0,0,0,1295.080582,911.1219009,1028.29405,1444.233724,1.00645212,2.644742749,3.14241983,34.93776083,45.89821658,31.64300225,3.413467732,3.176385418,2.352871575,230.725232,89.29404085,176.9167081,1,0,0,0,0,0,1,0,0,0,0,0,0,ENSMUSG00000000204
Il7r,#N/A,6.335842608,#N/A,-6.838037687,1.364031259,2.281478911,4.161530406,0,0,13.43895838,0,0,70.73738935,18.5460782,26.86794606,26.88350487,0,0,6.479615693,0,0,0,0,111.8191004,183.6564951,45.60053276,60.81453154,106.8342249,56.75538294,0,25.23984978,0,0,1.072218979,31.32775435,0,20.47635133,1.041642727,8.623488307,0,1.181317369,343.780528,395.3696494,323.594816,452.6480577,188.1092986,435.6232689,0,4.075953147,14.80016247,0,0,0,11.59479792,9.599275323,5.804373691,10.94737918,12.93904305,15.11339646,34.98448772,34.75428749,7.045164838,3.526323666,2.094946553,20.9626565,22.94910829,17.6828542,8.53366933,7.940963546,7.058614724,99.63135019,159.8363331,163.1565197,1,0,0,0,0,1,1,0,0,0,1,0,1,ENSMUSG00000003882
Mcemp1,6.977549628,9.106745479,#N/A,#N/A,4.471429629,3.739435552,3.822763933,6.624288712,0,0,0,0,396.7127815,191.6428081,202.1493084,51.84675938,0,0,0,0,0,0,1.817581833,87.76499156,212.9905186,312.9854748,225.5205544,122.523167,182.0901869,21.42715093,23.13652896,0,0,0,0,2.021563545,145.3820944,83.33141817,44.84213919,10.34846084,17.71976053,35.31280348,21.72360711,66.59185923,29.2031005,26.54302986,11.35703122,28.93942229,190.5508096,597.9265638,324.4834719,0,0,1.545973057,10.47193672,5.804373691,0.9122815983,72.92915175,124.1457566,101.2051252,117.1348208,5.032260599,12.34213283,6.28483966,147.9031875,77.45324049,96.79035983,3.413467732,3.176385418,2.352871575,36.70628691,27.68115266,63.88658902,1,0,0,1,0,1,1,0,0,0,1,0,0,ENSMUSG00000013974
Gpr132,#N/A,4.15887998,#N/A,#N/A,3.742518112,2.584299548,4.619553714,0,0,0,0,0,0,0,28.14737206,9.601251738,0,0,3.239807846,0,0,0,0,10.40177678,0,0,2.533938814,32.87206921,14.97711494,0,0,0,0,0,0,0,10.23817566,22.91614,0.8623488307,0,0,5.193059335,1.086180355,0,0,17.31067165,0,0,10.18988287,13.81348497,0.9063784131,0,0,0.7729865283,3.490645572,2.176640134,6.385971188,24.70180946,55.05594425,42.48116366,43.76465832,2.012904239,7.934228248,7.332312937,39.59612894,31.5550239,33.50435533,5.120201598,0,0,35.39534809,42.86113961,54.05788302,1,0,0,0,0,1,1,0,0,0,0,0,0,ENSMUSG00000021298
Acod1,#N/A,4.806475528,#N/A,#N/A,13.24113492,4.999903193,7.174750655,19.87286613,68.47639007,0,0,0,145.1210359,199.3703407,466.990491,72.00938803,10.25373096,0,61.55634908,0,0,0,0,266.5455299,151.7716869,406.2592918,455.2643402,265.9649236,185.2432638,0,19.98154774,0,0,0,0,64.69003343,218.0731417,294.7848918,134.5264176,18.10980647,25.98898211,45.69892215,23.89596782,35.37692522,11.6812402,78.4750448,3.244866063,0,119.2216295,452.8849716,654.4052142,0,0,0,0.872661393,0,0,1809.113474,1967.980125,2570.110401,3255.318261,1.00645212,0,1.047473277,34.93776083,16.25561837,12.09879498,1.706733866,0,0,121.9173101,42.86113961,99.26993063,1,0,1,0,0,1,1,0,1,0,0,0,0,ENSMUSG00000022126
Vdr,#N/A,#N/A,#N/A,3.403713101,5.911459273,2.41687846,3.871264154,0,0,0,0,0,0,20.86433798,49.89761411,0,14.35522335,50.56749134,0,25.32757675,3.008001985,11.25021188,24.53735475,27.95477509,0,0,21.96080305,4.482554892,18.91846098,0,0,13.22657646,0,1.072218979,44.75393479,37.39892558,0,0,23.28341843,13.79794778,10.63185632,6.231671202,0,0,19.46873367,0,0,0,83.55703951,24.66693745,87.01232765,57.16362351,20.20168786,0,1.745322786,1.451093423,0,37.64085252,30.22679292,56.22506955,72.08296664,6.038712718,0,13.6171526,46.58368111,29.64259821,26.98961957,7.680302397,3.176385418,1.176435787,52.43755273,70.54229227,59.95510662,1,0,0,0,0,1,0,0,0,0,0,0,1,ENSMUSG00000022479
Mefv,#N/A,5.89154554,#N/A,#N/A,3.938557792,3.574500823,5.789622267,0,0,0,0,0,0,0,76.76556017,0,0,0,0,0,0,0,0,10.40177678,0,16.58201191,0,17.18312709,18.91846098,0,27.34317059,0,0,0,0,0,33.78597969,57.29034999,0,0,5.906586844,11.42473054,1.086180355,0,0,26.54302986,0,0,0,46.3738424,68.88475939,0,0,1.545973057,0,5.804373691,0,21.17297954,32.38584956,34.98448772,32.17989582,1.00645212,3.526323666,8.379786214,68.71092964,30.59881106,53.0485626,0,2.382289064,0,52.43755273,30.35997389,65.85233022,1,0,0,0,0,1,1,0,0,0,0,0,0,ENSMUSG00000022534
Ms4a4c,#N/A,9.361047323,#N/A,#N/A,6.417517156,3.254710994,5.241037515,0,0,11.64709726,0,0,89.69792671,17.77332494,98.51580221,0,3.076119288,0,0,0,0,0,0,67.61154905,230.8460112,132.6560953,108.1147227,76.20343316,85.13307441,0,11.56826448,0,0,0,4.475393479,5.053908862,14.33344593,20.83285454,10.34818597,0,0,95.55229177,53.22283741,41.61991202,82.74211808,62.31841793,137.0955912,0,23.43673059,7.893419984,92.45059813,0,0,1.545973057,17.45322786,10.88320067,5.47368959,571.6704476,607.7744434,869.614409,965.3968746,3.019356359,6.171066415,14.66462587,64.05256153,100.4023488,60.4939749,14.50723786,7.146867191,0,270.0533966,207.1621748,356.7820279,1,0,0,0,0,1,1,0,0,0,1,0,0,ENSMUSG00000024675
Il6,3.152156326,1.610711919,#N/A,3.140471794,13.03415392,5.783562555,5.04525822,17.03388526,2.402680353,0.8959305588,32.24543598,16.68277025,29.17005747,233.3714841,223.8995505,117.1352712,14.35522335,179.3941955,449.5233387,132.7514368,345.9202282,143.1845148,102.6933736,408.2697385,1543.224716,288.112457,362.3532504,501.2990554,1031.056123,18.74875706,22.08486855,0,0,3.216656936,58.92601414,22.23719899,192.4777025,88.5396318,100.8948132,69.85211066,224.4503001,302.2360533,316.0784834,184.1681107,312.4731753,535.4767763,340.7109366,2037.549696,1875.957436,1392.20195,1964.122021,4503.22323,5781.218024,0,0.872661393,0,0,1430.352396,788.0556726,2220.265524,3879.60824,2.012904239,7.052647331,31.4241983,741.8451217,1032.709873,447.6554142,0,0,3.529307362,32.77347046,34.82467593,28.50324741,1,0,1,1,1,1,1,0,0,0,1,1,1,ENSMUSG00000025746
Gpr35,6.09627852,8.232607485,#N/A,#N/A,2.387707872,3.731081842,3.652962199,0,0,13.43895838,0,10.42673141,303.3685976,459.7881888,839.3034578,26.88350487,8.202984769,40.93558823,4.85971177,0,1.002667328,0,0.9087909167,2555.586532,1286.870858,3393.094187,2921.631453,1878.937592,2093.643015,81.24461393,65.20294526,1.017428959,18.75432858,8.577751831,7.458989131,89.95957774,261.0734794,337.4922436,106.0689062,35.3572412,18.9010779,510.9970386,766.8433309,475.5074948,910.1632989,467.3881345,923.9756114,246.5210047,408.614303,850.5160032,782.2045705,8.892119213,0,15.45973057,6.981291144,18.13866778,13.68422397,48.22734229,85.28273717,56.22506955,96.53968746,7.045164838,14.10529466,21.99693881,241.0705497,108.0520515,222.4316923,5.120201598,11.91144532,9.411486298,103.5641666,95.54462371,133.6704016,1,0,0,1,0,1,1,0,1,0,1,0,0,ENSMUSG00000026271
Ifi211,#N/A,4.331505986,#N/A,2.204837585,5.573965129,1.88695737,4.692339802,0,0,8.959305588,0,0,22.60679454,6.182026068,30.70622407,0,2.050746192,0,3.239807846,0,0,7.15922574,9.087909167,64.36099381,114.7853094,109.8558289,54.05736137,11.95347971,41.778268,0,0,0,0,1.072218979,8.204888045,5.053908862,24.57162159,28.12435363,6.898790645,3.449486946,7.087904213,15.57917801,9.775623199,5.202489002,8.76093015,0,8.923381673,53.59152276,17.32280087,56.24061738,16.31481144,35.56847685,44.4437133,6.183892226,15.70790507,7.981013825,9.122815983,622.2503431,330.3356655,463.5444623,419.6258415,9.058069077,9.697390081,14.66462587,33.7731688,60.24140927,28.85097264,12.800504,7.940963546,4.705743149,245.145559,168.7657372,263.4093209,1,0,0,0,0,1,1,0,0,0,0,1,1,ENSMUSG00000026536
Il1rn,8.058674741,9.87108154,6.159317034,3.421718767,7.623690584,4.351296596,9.752318853,0.9463269588,4.805360707,17.02268062,0,0,1106.274429,722.5242967,3911.20529,341.8045619,0,0,35.63788631,0,2.005334656,0,0.9087909167,8546.359845,4869.447904,11767.0102,5844.952198,2102.318244,3412.417399,0,24.18818937,11.19171855,0,0,14.91797826,138.4771028,1010.507938,1882.248408,466.5307174,31.90775425,69.69772476,129.8264834,85.80824808,111.3332647,219.0232537,159.2581792,171.9779013,405.1519121,1163.684623,6092.73355,1739.340175,0,0,0,3.490645572,2.176640134,6.385971188,386.9950149,463.1176487,432.3083125,1032.331058,0,3.526323666,11.52220604,128.1051231,95.62128455,78.1768291,0.853366933,0,0,182.2204957,370.5702695,304.6898861,1,0,0,1,0,1,1,0,1,1,1,0,1,ENSMUSG00000026981
Il1b,#N/A,6.011867887,#N/A,#N/A,5.843132106,4.322203673,5.820949093,457.0759211,343.5832905,163.0593617,383.4592387,15.64009711,862.7044495,1044.762405,2915.81186,976.4473017,79.97910149,32.50767301,592.8848359,8.733647157,1.002667328,2.045493068,1.817581833,3901.316402,7978.854397,2827.233031,4355.840821,16084.15404,6112.239435,216.0571052,1139.999882,60.02830857,236.0839009,15.0110657,52.21292392,243.5984071,1909.419761,1668.711649,1069.31255,80.2005715,133.4888627,4147.177185,4824.813139,5095.317729,3305.790976,14675.98742,13877.48093,331.1956107,1531.539395,5268.857839,4231.880811,1.270302745,27.27227861,2.318959585,13.0899209,15.23648094,10.03509758,399.934058,318.460854,332.3526333,1284.621441,3.019356359,39.67114124,23.04441209,583.4606059,176.8993764,557.4752456,4.266834665,0,8.235050511,182.2204957,241.0939103,213.2829203,1,1,1,0,0,1,1,1,1,0,1,0,0,ENSMUSG00000027398
Clec4e,9.88520482,10.18303525,#N/A,#N/A,7.606940957,4.327719518,6.754074116,0,0,0.8959305588,0,0,51.776852,282.0549393,896.8776279,41.28538247,6.152238576,0,0,0,0,0,0,142.3743196,167.0763948,254.9484331,255.9278202,197.9795077,218.3505705,14.28476728,45.22139752,0,0,0,0.7458989131,26.28032608,272.3354727,476.0307263,229.384789,39.66909988,23.62634738,61.27810016,56.48137848,72.83484603,45.75152411,23.08089553,0,0,168.1330673,1458.309342,587.3332117,0,9.595801734,1.545973057,3.490645572,2.902186845,1.824563197,341.1202259,384.3120814,406.0699467,773.6046955,4.025808479,7.934228248,6.28483966,160.7136998,76.49702764,133.0867448,0,0.7940963546,1.176435787,53.74849155,58.93406696,85.50974223,1,0,0,1,0,1,1,0,1,0,0,0,0,ENSMUSG00000030142
Klra2,#N/A,6.532088834,#N/A,#N/A,5.25197192,2.897639166,4.376002752,0,0,0.8959305588,0,0,0,9.273039102,85.72154219,6.720876217,0,0,0,0,0,0,0,21.4536646,0,20.72751489,15.20363288,32.87206921,7.882692075,0,0,18.31372126,0,0,0,0,12.2858108,24.99942545,0,4.311858683,0,0,8.689442843,12.48597361,17.5218603,0,10.5458147,0,18.34178916,9.86677498,84.29319242,0,0,8.502851811,5.235968358,4.353280268,2.736844795,123.5090473,179.2017009,211.1563723,289.6190624,4.025808479,11.46055191,12.56967932,73.36929775,55.46034504,80.96885871,23.04090719,6.352770837,5.882178937,235.9689873,183.0527837,328.2787805,1,0,0,0,0,1,1,0,0,0,0,0,0,ENSMUSG00000030187
F10,#N/A,8.42867564,8.016274693,4.458517024,5.594922535,2.944033677,6.250449169,22.71184701,42.04690618,0,0,6.256038843,133.4530129,0.7727532585,172.7225104,22.082879,2.050746192,0,0,0,0,0,0,23.40399775,33.1602005,151.3108587,63.34847035,58.27321359,39.41346038,0,0,0,0,0,0,9.097035951,77.81013505,126.03877,53.4656275,7.761345629,3.543952106,36.35141535,4.344721422,0,0,0,4.867299094,8.574643642,28.53167203,738.0347685,226.5946033,0,0,2.318959585,1.745322786,2.902186845,1.824563197,81.16308824,101.4756619,69.96897544,178.9202208,5.032260599,14.98687558,9.427259491,112.9654267,36.33608813,80.03818217,0,1.588192709,3.529307362,142.8923312,91.97286208,118.9273426,1,0,0,0,0,1,1,0,0,1,0,0,1,ENSMUSG00000031444
Oas3,#N/A,6.393755105,#N/A,#N/A,7.350248788,2.730354772,4.521007278,4.731634794,0,0,0,0,5.104760056,0,2.558852006,0.9601251738,0,0,0,0,0,1.022746534,0,10.40177678,43.36333912,8.291005956,32.09655831,6.723832338,23.64807623,0,6.309962444,0,0,0,0,0,4.095270266,7.29149909,0,2.58711521,0,0,0,0,30.17653718,0,9.734598189,22.50843956,32.60762518,0,68.88475939,0,0,1.545973057,5.235968358,5.078826979,2.736844795,463.4529966,495.5034982,765.9103918,665.4802456,2.012904239,7.052647331,9.427259491,37.26694489,60.24140927,25.1282665,8.53366933,15.08783074,3.529307362,249.0783755,133.0481209,269.3065445,1,0,0,0,0,1,1,0,0,0,0,0,0,ENSMUSG00000032661
Adgre4,#N/A,6.95167063,#N/A,#N/A,3.368515417,2.991717372,2.922256183,0,8.409381237,0,0,0,0,0,83.16269018,0,0,0,0,0,0,0,0,23.40399775,0,12.43650893,35.4751434,35.86043913,23.64807623,0,0,0,0,0,0,0,0,47.91556545,23.28341843,1.724743473,0,8.308894936,0,67.63235703,52.5655809,28.85111941,107.8917966,0,0,76.96084484,0,3.810908234,0,13.14077098,19.19855065,7.255467113,17.33335037,84.69191816,206.1899088,156.1807487,133.8683666,3.019356359,20.27636108,8.379786214,137.4218593,44.94200374,73.52344641,11.94713706,10.32325261,0,41.95004218,66.97053064,66.83520082,1,0,0,0,0,1,1,0,0,0,0,0,0,ENSMUSG00000032915
AA467197,3.763892159,4.610995688,4.125345327,5.025726022,8.84755757,3.727716472,7.463322248,0,88.89917308,6.271513911,15.68696886,9.384058265,312.8488663,325.3291218,392.7837829,327.4026843,265.5716319,0,12.95923139,0,0,0,2.72637275,53.30910598,178.5549258,60.10979318,44.76625238,26.14823687,32.31903751,0,10.51660407,2.034857918,0,4.288875915,0,22.23719899,56.30996615,130.2053409,35.35630206,28.45826731,15.35712579,9.347506803,5.430901777,0,0.9734366833,0,2.433649547,54.66335322,7.132918007,279.2297319,207.5606566,12.70302745,30.80757399,0.7729865283,0.872661393,2.902186845,1.824563197,806.9257758,518.1735929,442.3038804,1222.836041,24.15485087,7.934228248,30.37672503,306.2877033,349.9739015,162.868394,0.853366933,1.588192709,0,270.0533966,62.5058286,147.43059,1,0,1,1,0,1,1,0,1,1,0,0,1,ENSMUSG00000033213
