Genes,EC-Log2fC,PC-Log2fC,AC-Log2fC,MC-Log2fC,M_Log2FC,S_Log2FC,GB_log2FC,Contra-Endo-1,Contra-Endo-2,Contra-Endo-3,Contra-Endo-4,Contra-Endo-5,Ipsi-Endo-1,Ipsi-Endo-2,Ipsi-Endo-3,Ipsi-Endo-4,Ipsi-Endo-5,Contra-Peri-1,Contra-Peri-2,Contra-Peri-3,Contra-Peri-4,Contra-Peri-5,Contra-Peri-6,Ipsi-Peri-1,Ipsi-Peri-2,Ipsi-Peri-3,Ipsi-Peri-4,Ipsi-Peri-5,Ipsi-Peri-6,Contra-Astro-1,Contra-Astro-2,Contra-Astro-3,Contra-Astro-4,Contra-Astro-5,Contra-Astro-6,Ipsi-Astro-1,Ipsi-Astro-2,Ipsi-Astro-3,Ipsi-Astro-4,Ipsi-Astro-5,Ipsi-Astro-6,Contra-MG-1,Contra-MG-2,Contra-MG-3,Contra-MG-4,Contra-MG-5,Contra-MG-6,Ipsi-MG-1,Ipsi-MG-2,Ipsi-MG-3,Ipsi-MG-4,Ipsi-MG-5,Ipsi-MG-6,H1,H2,H3,H4,M1,M2,M3,M4,S-SHAM-1,S-SHAM-2,S-SHAM-3,STROKE-1,STROKE-2,STROKE-3,GB-SHAM-1,GB-SHAM-2,GB-SHAM-3,GB-1,GB-2,GB-3,iMSG,Control-EC-exp,EC-EXP,EC-Regulated,Control-PC-exp,PC-EXP,PC-Regulated,Control-AC-exp,AC-EXP,AC-Regulated,Control-MC-exp,MC-EXP,MC-Regulated,GeneID
Cd177,#N/A,7.465795768,#N/A,#N/A,4.170061912,2.653511529,5.601941909,0,0,0,0,0,0,38.63766292,162.4871024,0.9601251738,0,0,0,0,0,0,0,18.85322041,51.01569308,29.01852084,31.25191204,47.81391885,10.2474997,0,47.32471833,0,0,4.288875915,0,0,38.90506752,73.95663362,5.174092984,2.58711521,0,0,57.56755884,29.13393841,0,0,0,4.287321821,24.45571888,0,171.3055201,0,0,6.956878755,2.617984179,7.981013825,4.561407992,62.34266198,167.3268894,103.7040172,70.7957708,5.032260599,9.697390081,4.189893107,36.10235286,41.11715236,43.74179723,0,0,1.176435787,17.04220464,20.5376294,10.8115766,1,0,0,0,0,1,1,0,0,0,0,0,0,ENSMUSG00000052212
Trim30b,7.657932393,5.205768724,#N/A,#N/A,7.035342896,3.182395699,3.017712947,0,0,0,0,0,83.13466378,0,80.60383817,19.20250348,0,0,12.95923139,0,1.002667328,0,0,67.61154905,169.6271795,74.6190536,49.83413001,85.16854294,87.49788204,0,0,0,0,0,10.44258478,18.1940719,31.73834456,44.79063726,2.587046492,0,2.362634738,14.54056614,47.79193564,32.25543182,58.406201,117.7125672,72.1982699,0,16.30381259,57.22729488,132.3312483,0,0,1.545973057,0,1.451093423,5.47368959,279.9538406,209.4284938,311.1120515,271.5983207,4.025808479,2.644742749,3.14241983,34.93776083,32.51123675,21.40556035,5.120201598,6.352770837,5.882178937,35.39534809,31.2529143,73.71529502,1,0,0,1,0,1,1,0,0,0,1,0,0,ENSMUSG00000052749
Gpr141,#N/A,5.470052775,#N/A,6.413383375,5.544773972,2.445430701,5.064501429,0.9463269588,0,0,0,0,0,0,52.45646611,0,0,0,0,0,0,0,0,0.6501110486,0,20.72751489,0,14.19475716,11.82403811,23.21274684,0,0,0,0,0,0,51.19087832,59.37363544,0,1.724743473,0,0,0,0,0,0,0.8112165157,0,21.39875402,54.26726239,57.10184002,0,0,6.956878755,6.108629751,4.353280268,1.824563197,151.7396867,231.0190602,297.3681456,229.1208582,7.045164838,10.578971,13.6171526,79.19225789,44.94200374,46.53382684,10.2404032,10.32325261,4.705743149,267.4315189,191.0892474,413.7885227,1,0,0,0,0,1,1,0,0,0,0,0,1,ENSMUSG00000053101
Il2rb,#N/A,#N/A,#N/A,#N/A,1.849781188,1.401331349,4.473823211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.051660407,0,0,0,0,0,0,14.58299818,0,9.486089102,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04882487,17.45322786,7.981013825,5.47368959,28.23063939,26.98820796,46.22950163,46.33904998,9.058069077,14.98687558,14.66462587,30.27939272,50.67928081,21.40556035,7.680302397,11.11734896,7.058614724,138.9595147,213.4127576,229.9917205,1,0,0,0,0,1,0,0,0,0,0,0,0,ENSMUSG00000068227
Runx3,7.231903014,5.845277157,#N/A,-4.64694772,2.246053876,3.343069184,4.849371848,0,0,0,0,0,76.57140085,3.863766292,46.0593361,9.601251738,0,0,0,0,0,0,0,0,0,20.72751489,10.13575526,20.17149701,10.2474997,0,4.206641629,2.034857918,0,0,0,0,5.119087832,8.333141817,0,0,0,0,6.517082132,21.85045381,8.76093015,9.232358212,0.8112165157,0,0,0,0,0,1.010084393,6.956878755,1.745322786,6.529920402,8.210534385,27.05436275,23.74962301,24.9889198,36.04148332,6.038712718,4.407904582,6.28483966,66.38174558,38.24851382,64.21668104,3.413467732,4.764578127,3.529307362,102.2532278,108.0457894,130.7217898,1,0,0,1,0,1,1,0,0,0,0,0,1,ENSMUSG00000070691
Treml2,#N/A,9.977265821,#N/A,-3.92295918,3.474196607,1.564119833,3.101619797,5.677961753,168.1876247,0,0,0,0,47.91070202,19.19139004,0,1.025373096,0,0,0,0,0,0,193.0829814,44.63873144,159.6018646,241.5688336,232.3457619,197.8555711,0,28.394831,16.27886334,0,0,0,0,24.57162159,19.79121181,11.2105348,4.311858683,0,303.2746652,229.184055,259.0839523,322.2075422,245.8115374,371.5371642,35.37040502,5.094941434,38.48042242,35.34875811,0,0,2.318959585,7.853952537,4.353280268,3.649126393,56.46127877,43.18113274,34.98448772,65.64698747,7.045164838,12.34213283,18.85451898,41.925313,45.89821658,25.1282665,6.826935464,14.29373438,7.058614724,45.88285864,93.75874289,105.1671542,1,0,0,0,0,1,1,0,0,0,1,0,1,ENSMUSG00000071068
I830077J02Rik,#N/A,6.997239538,#N/A,-4.292778958,1.687621473,2.061485164,2.883149477,93.68636892,8.409381237,69.88258358,0,0,7.292514366,40.18316944,44.7799101,48.00625869,0,0,28.34831866,0,0,0,0,738.5261512,266.5569963,339.9312442,610.6792542,990.6446311,722.8428633,31.24792844,67.30626607,21.36600813,17.65113278,8.577751831,0.7458989131,3.032345317,132.0724661,59.37363544,31.0445579,1.724743473,7.087904213,1836.265781,1332.743296,1262.123832,1613.958021,1694.137732,1903.925162,90.03375824,31.58863689,264.4295695,106.0462743,0,0,18.55167668,20.94387343,8.706560536,10.03509758,39.9934058,47.49924602,67.47008346,32.17989582,9.058069077,19.39478016,15.71209915,81.52144194,37.29230098,67.00871065,4.266834665,11.91144532,10.58792209,60.30318564,54.46936492,81.57825983,1,0,0,0,0,1,1,0,0,0,1,0,1,ENSMUSG00000074342
Sirpb1c,#N/A,#N/A,#N/A,#N/A,2.51700801,3.656633196,7.404540048,10.40959655,70.87907043,0,0,3.128019422,0,21.63709124,93.3980982,23.04300417,0,0,34.01798239,15.72056488,0,0,0,25.35433089,34.43559283,49.74603573,51.52342255,29.88369928,18.13019177,0,8.413283259,0,0,0,0,2.021563545,23.54780403,39.58242363,0.8623488307,0.8623717365,1.181317369,16.61778987,7.603262488,10.404978,14.60155025,11.54044777,8.923381673,16.07745683,29.55066032,59.20064988,108.7654096,0,0,0.7729865283,2.617984179,2.176640134,6.385971188,12.93904305,20.51103805,13.74390589,19.30793749,4.025808479,7.052647331,4.189893107,66.38174558,43.02957805,85.62224139,0,0,0,24.90783755,21.4305698,40.29769461,1,0,0,0,0,1,0,0,0,0,0,0,0,ENSMUSG00000074677
Slfn1,#N/A,4.329099688,#N/A,#N/A,6.842925991,3.743153542,6.439692949,11.35592351,0,0,0,0,0,17.00057169,92.1186722,2.880375521,3.076119288,0,8.099519616,0,0,0,0,1.300222097,3.826176981,80.83730807,45.61089865,11.20638723,26.80115306,7.142383642,14.7232457,0,0,0,0,5.053908862,9.214358098,41.66570908,8.623488307,5.174230419,0,8.308894936,30.41304995,0,4.867183416,0,0,0,31.58863689,44.40048741,161.3353575,0,0,1.545973057,5.235968358,4.353280268,3.649126393,328.1811829,359.4829301,466.0433543,531.611879,4.025808479,10.578971,14.66462587,165.3720679,125.2638828,101.4437425,5.120201598,3.176385418,1.176435787,222.8595991,265.2033013,376.4394399,1,0,0,0,0,1,1,0,0,0,0,0,0,ENSMUSG00000078763
4930430E12Rik,#N/A,9.368335584,#N/A,#N/A,5.194909249,2.880110471,7.007995264,0,0,0.8959305588,0,0,0,17.00057169,134.3397303,0,3.076119288,0,0,0,1.002667328,0,0,200.234203,116.0607018,219.7116578,169.7739005,118.7877046,156.8655723,0,0,9.156860629,6.619174793,0,0,8.086254179,33.78597969,46.87392272,60.36441815,0,16.53844316,30.11974414,19.5512464,10.404978,78.84837135,68.08864181,49.48420746,0,56.04435577,146.0282697,195.7777372,0,0,0.7729865283,0.872661393,2.176640134,0,34.11202259,31.30632124,29.98670376,52.77502915,0,0.8815809164,6.28483966,16.30428839,20.08046976,14.89082459,0,0,0,20.97502109,23.21645062,21.62315321,1,0,0,0,0,1,1,0,0,0,1,0,0,ENSMUSG00000085295
Slfnlnc,#N/A,6.857111202,#N/A,#N/A,2.118459485,2.364419441,5.43983856,0,0,5.375583353,0.8714982698,0,18.96053735,20.09158472,33.26507607,23.04300417,0,0,3.239807846,0,0,0,0,76.71310373,132.640802,76.69180509,68.41634798,40.34299403,33.10730672,9.820777508,2.103320815,0,0,0,3.729494566,1.010781772,9.214358098,10.41642727,0,0,0,64.39393576,27.15450888,70.75385043,54.51245426,32.31325374,60.84123868,0,20.37976573,47.3605199,12.68929778,0,9.595801734,4.63791917,10.47193672,23.94304147,21.89475836,37.64085252,32.38584956,99.9556792,95.25249163,3.019356359,4.407904582,9.427259491,31.44398475,21.0366826,33.50435533,9.387036263,10.32325261,3.529307362,490.291118,221.4492213,341.0560983,1,0,0,0,0,1,1,0,0,0,1,0,0,ENSMUSG00000087107
2700038G22Rik,#N/A,2.96059684,#N/A,-2.282037346,2.00531923,1.870644456,3.910880016,98.41800371,156.174223,41.2128057,1.74299654,35.45088678,0,30.13737708,35.82392808,45.12588317,52.2940279,6.019939446,21.86870296,0,40.10669313,29.65964949,15.44944558,83.86432527,1.275392327,72.54630211,137.6773422,239.8166867,344.4736437,12.49917137,8.413283259,40.69715835,48.54061515,28.94991243,38.04084457,54.58221571,39.92888509,35.41585272,61.22676698,31.90775425,33.07688633,81.01172563,181.3921193,117.5762515,256.9872844,223.8846866,325.2978228,37.51406594,21.39875402,0.986677498,69.79113781,67.32604547,46.96892428,2.318959585,6.108629751,7.255467113,2.736844795,22.34925618,12.95433982,14.99335188,24.45672082,6.038712718,6.171066415,5.237366384,23.29184056,28.68638537,12.09879498,6.826935464,5.558674482,10.58792209,183.5314346,64.29170941,91.40696583,1,0,0,0,0,1,1,0,1,0,1,0,1,ENSMUSG00000097180
9530053H05Rik,7.712259938,4.09120612,#N/A,#N/A,1.893430925,2.151001333,3.505768604,0,0,0,0,0,59.7986178,38.63766292,52.45646611,30.72400556,8.202984769,0,18.62889512,0,0,0,0,46.8079955,53.56647773,68.40079913,37.16443594,64.24995345,54.39057532,0,9.464943666,4.069715835,0,0,0,3.032345317,44.02415536,67.70677726,0,0.8623717365,8.269221582,14.54056614,27.15450888,27.05294281,8.76093015,0,18.65797986,0,80.50007465,259.496182,253.7859557,0,0,13.14077098,15.70790507,5.804373691,16.42106877,23.52553282,51.81735929,59.97340752,52.77502915,6.038712718,14.10529466,9.427259491,50.07745719,33.46744959,49.32585645,2.560100799,3.176385418,3.529307362,32.77347046,31.2529143,40.29769461,1,0,0,1,0,1,1,0,0,0,0,0,0,ENSMUSG00000141856
