Genes,EC-Log2fC,PC-Log2fC,AC-Log2fC,MC-Log2fC,M_Log2FC,S_Log2FC,GB_log2FC,Contra-Endo-1,Contra-Endo-2,Contra-Endo-3,Contra-Endo-4,Contra-Endo-5,Ipsi-Endo-1,Ipsi-Endo-2,Ipsi-Endo-3,Ipsi-Endo-4,Ipsi-Endo-5,Contra-Peri-1,Contra-Peri-2,Contra-Peri-3,Contra-Peri-4,Contra-Peri-5,Contra-Peri-6,Ipsi-Peri-1,Ipsi-Peri-2,Ipsi-Peri-3,Ipsi-Peri-4,Ipsi-Peri-5,Ipsi-Peri-6,Contra-Astro-1,Contra-Astro-2,Contra-Astro-3,Contra-Astro-4,Contra-Astro-5,Contra-Astro-6,Ipsi-Astro-1,Ipsi-Astro-2,Ipsi-Astro-3,Ipsi-Astro-4,Ipsi-Astro-5,Ipsi-Astro-6,Contra-MG-1,Contra-MG-2,Contra-MG-3,Contra-MG-4,Contra-MG-5,Contra-MG-6,Ipsi-MG-1,Ipsi-MG-2,Ipsi-MG-3,Ipsi-MG-4,Ipsi-MG-5,Ipsi-MG-6,MSG_Regulated,Control-EC-exp,EC-EXP,EC-Regulated,Control-PC-exp,PC-EXP,PC-Regulated,Control-AC-exp,AC-EXP,AC-Regulated,Control-MC-exp,MC-EXP,MC-Regulated,GeneID
AB124611,#N/A,6.534594673,#N/A,#N/A,2.685329451,1.752531267,1.927771731,0,103.3152552,17.02268062,0,1.042673141,75.84214941,81.9118454,289.1502766,80.6505146,4.101492384,0,36.44783827,0,0,0,5.4527455,560.3957239,891.4992365,648.771216,521.1467494,659.6826616,644.8042118,63.38865483,44.16973711,38.66230043,47.43741935,26.80547447,49.97522718,75.80863293,110.5722972,144.7883391,93.99602254,27.59589557,36.62083843,211.8768209,159.6685122,268.4484325,370.8793763,181.1850299,202.8041289,63.23799686,148.7722899,405.5244517,267.3816319,17.78423843,1.51512659,1,0,0,0,0,1,1,1,1,0,1,0,0,ENSMUSG00000057191
Fam136a,#N/A,#N/A,#N/A,#N/A,-0.663271106,0.390085832,0.581667075,296.2003381,768.8577131,392.4175847,440.1066262,479.6296446,487.8692111,531.6542418,635.8747234,409.013324,540.3716216,490.0230709,848.8296558,568.5604299,637.6964207,630.0118651,592.5316777,447.9265125,939.964145,669.4987309,478.0697896,585.7205059,533.6582535,248.1978316,315.4981222,352.0304197,311.1012153,360.2655769,654.8992457,214.2857357,398.2650333,423.9485899,219.036603,417.3879205,632.0047923,543.1940065,526.7974724,391.227173,484.7714683,410.8399404,419.3989386,811.3756547,510.5131317,614.7000812,309.0750389,673.2604547,549.4859098,1,1,1,0,1,1,0,1,0,0,1,1,0,ENSMUSG00000057497
Pus7,#N/A,#N/A,#N/A,#N/A,0.463801104,1.068944362,1.310739917,58.67227145,200.6238095,226.6704314,257.9634879,215.8333401,80.21765803,318.3743425,577.0211273,433.9765786,348.6268527,217.9218079,340.1798239,181.6598609,200.5334656,193.299095,171.7614833,328.9561906,98.20520918,209.3479004,314.2084129,405.6712177,465.8671017,237.4842561,450.1106544,375.4312858,403.7696624,427.8153726,540.0308131,482.1429054,490.4086143,511.446579,739.8952967,438.0848422,523.3235944,300.1588296,341.0606316,339.202283,329.9950356,303.5137762,242.5537382,233.6590393,233.3483177,0,218.4371976,342.9817411,219.1883133,1,1,1,0,1,1,0,1,1,0,1,0,0,ENSMUSG00000057541
Eif1a,#N/A,1.128840298,#N/A,0.543676383,2.411878511,0.565924879,1.021500652,1062.725175,1755.157998,1195.171365,1621.85828,1053.099872,2027.318994,1327.590098,1765.607884,2337.904798,1256.082043,1105.260882,959.7930745,670.7441016,884.3525835,1074.906607,980.5853991,2224.029897,2234.487357,2248.935365,1584.556405,1979.047985,2140.150898,173.2028033,423.8191442,439.5293102,311.1012153,658.342453,1799.854077,466.9811788,841.5780396,965.602808,1318.531362,1028.809482,1855.849586,1165.322515,1174.160964,1168.47903,1297.591099,820.5258361,1704.3659,1970.024377,1146.361823,1625.057839,1542.656059,2310.680693,2093.399905,1,1,1,0,1,1,1,1,1,0,1,1,1,ENSMUSG00000057561
Sptan1,#N/A,-1.959250654,#N/A,1.757642612,-0.675101655,-0.318624374,-0.726658152,7618.878345,3951.207841,5713.349173,5336.183906,9406.997074,2636.243943,4242.415389,2990.018568,3707.043296,7820.520604,1833.673555,1374.488479,2203.499178,2252.993486,3356.654125,2888.137533,551.9442802,478.2721226,572.0794109,560.8451242,739.6215571,672.393634,1109.747858,1273.560753,1029.638106,1230.063316,2121.921359,2508.458045,1626.347872,1463.035302,1280.178912,1013.259876,1898.080192,2407.524798,306.3905008,629.9846061,408.9156356,914.0570456,802.0611197,1033.489841,991.4431711,3337.186639,1418.842242,1820.914232,3401.87075,2878.235478,1,1,1,0,1,1,1,1,1,0,1,1,1,ENSMUSG00000057738
Megf6,#N/A,-7.528523103,#N/A,#N/A,-4.451127681,-1.226569232,-0.685686346,987.965345,259.4894782,1245.343477,949.0616158,1674.533064,267.6352772,734.8883488,150.9722683,373.4886926,1198.661149,67.42332179,57.50658927,0,0,16.36394455,57.25382775,0,0,0,0,0,0,48.21108959,83.08117218,0,93.7716429,363.4822338,443.0639544,0,51.19087832,18.74956909,56.91502282,198.3454994,350.8512585,21.81084921,0,0,4.867183416,0,12.97946425,0,0,0,0,0,28.7874052,1,1,1,0,0,0,1,0,0,0,0,0,0,ENSMUSG00000057751
Bak1,#N/A,1.715707823,#N/A,#N/A,0.883639438,0.739052683,1.202539686,19.87286613,28.83216424,15.2308195,1.74299654,19.81078967,18.96053735,23.18259775,11.51483402,10.56137691,19.48208883,21.671782,10.5293755,3.493458863,6.016003969,20.45493068,1.817581833,29.25499719,49.74030075,49.74603573,20.27151051,36.60753162,23.64807623,8.035181598,13.6715853,2.034857918,6.619174793,2.144437958,5.967191305,14.15094481,16.38108106,31.24928181,9.485837137,6.898973892,10.63185632,21.81084921,19.5512464,27.05294281,37.96403065,12.69449254,34.07109366,8.574643642,33.62661346,11.84012998,11.78291937,12.70302745,26.76723642,1,0,1,0,0,1,1,0,0,0,1,0,0,ENSMUSG00000057789
Mdn1,#N/A,2.629182929,#N/A,-2.538311338,1.073548674,0.445298826,0.829736418,122.0761777,36.0402053,172.9145978,334.6553356,86.54187066,123.2434928,229.5077178,154.8105463,138.258025,102.5373096,39.73160034,42.92745396,51.52851823,162.4321072,56.25105938,29.08130933,283.4484172,355.8344592,422.8413037,361.5086041,338.4328943,599.8728669,131.2412994,283.94831,371.36157,46.33422355,124.3774015,127.5487141,665.0944062,448.4320941,415.6154481,282.8504165,156.0892843,190.1920964,329.2399619,716.8790346,760.6038922,509.1073854,370.4483733,561.3618289,69.66897959,73.36715664,156.8817222,133.2376267,21.59514666,103.0286081,1,1,1,0,1,1,1,1,1,0,1,1,1,ENSMUSG00000058006
Palld,#N/A,-7.540029655,#N/A,6.29508897,0.622190488,-0.610329536,-1.259070963,139.1100629,159.7782435,355.6844318,907.2296989,70.90177355,101.3659497,254.235822,331.3713347,260.1939221,103.5626827,14331.06784,8707.793539,13060.29596,18058.03858,10730.65664,11811.55554,46.8079955,30.60941585,31.09127233,27.87332695,79.19180309,193.9142251,309.8008905,260.811781,250.2875239,173.2017404,377.4210805,526.6046327,431.6038168,304.0738172,285.4101072,198.340231,376.8564489,711.153056,67.50977136,65.17082132,8.323982404,193.7139,43.85370151,102.213281,9202.736289,6209.714619,4743.94541,5575.133619,6868.526941,5196.884203,1,1,1,0,1,1,1,1,1,0,0,1,1,ENSMUSG00000058056
Zfp729b,#N/A,#N/A,#N/A,-1.4630407,-0.520232515,-0.460490043,-0.58885394,41.63838619,78.08711149,120.0546949,6.100487889,147.0169128,98.44894394,38.63766292,42.22105809,72.96951321,156.8820837,0,150.6510649,109.1705895,1.002667328,78.75148314,94.51425534,81.91399212,354.5590669,37.3095268,21.96080305,147.9243114,230.9628778,104.4573608,179.8339297,161.7712044,163.2729782,271.2714016,176.7780424,170.8221195,115.691385,231.2446854,195.7531846,181.0980647,252.8019169,227.4559989,206.3742675,200.8160755,401.0559135,92.32358212,291.2267291,13.93379592,77.44310979,159.8417547,9.970162544,152.4363294,101.5134815,1,0,1,0,0,1,0,1,1,0,1,0,1,ENSMUSG00000058093
Nfam1,#N/A,5.141909339,#N/A,-3.741791192,0.488642405,1.089589933,1.144583968,482.626749,234.2613345,286.6977788,50.54689965,26.06682851,88.23942383,517.7446832,1009.467116,281.3166759,16.40596954,96.31903113,400.116269,122.2710602,0,0,0,4895.986307,857.0636437,2810.651019,4091.466538,4889.720294,4307.10295,214.2715093,611.0146967,65.11545336,101.4940135,7.505532852,26.85236087,96.02426837,308.1690875,293.743249,220.7613006,26.73352383,37.8021558,8467.802552,8099.64691,6013.036789,7954.924576,7158.539749,6752.566277,210.0787692,737.7475196,1288.600812,1084.93496,0,1.010084393,1,1,1,0,0,1,1,0,1,0,1,0,1,ENSMUSG00000058099
Tpm3-rs7,1.06633616,2.050842118,#N/A,-1.026920111,1.877254756,0.827183354,2.094676086,77.59881062,81.69113202,86.9052642,74.9488512,67.77375413,210.0244137,146.0503658,148.4134163,168.0219054,140.4761142,18.05981834,26.72841473,17.46729431,33.08802183,15.34119801,17.26702742,133.922876,85.45128591,101.564823,88.68785849,54.53775118,67.79115185,11.60637342,21.03320815,10.17428959,12.13515379,10.72218979,26.85236087,11.1185995,33.78597969,26.04106818,21.55872077,21.55929341,29.53293422,86.20478497,85.80824808,59.30837463,64.2468211,84.24526868,82.7440846,24.65210047,34.64560175,53.28058489,56.19546161,33.02787136,25.75715202,1,1,1,1,1,1,1,1,1,0,1,1,1,ENSMUSG00000058126
Spock2,#N/A,-3.645434783,#N/A,1.841646555,-3.634152362,-1.215704574,-1.298152701,10358.49489,1733.533875,6479.369801,8131.078857,15605.68889,2308.080797,3362.249428,1358.750415,3250.023713,6632.113185,412.967846,440.6138671,319.6514859,242.6454934,616.7161601,446.2163401,9.10155468,0,64.25529616,96.28967493,8.218017302,21.2832686,384.7959187,235.5719313,243.1655211,529.5339834,321.6656936,392.3428283,164.7574289,275.4069254,190.6206191,394.9557644,391.5167684,317.7743722,140.2126021,133.6001837,16.64796481,30.17653718,146.5636866,42.18325882,172.5647033,280.2217788,61.17400487,206.6542782,467.4714101,635.3430833,1,1,1,0,1,0,1,1,0,0,1,1,1,ENSMUSG00000058297
Samd12,#N/A,-3.368403857,#N/A,#N/A,-1.479107987,-0.650101225,-1.361594963,969.0388058,219.8452523,490.0740156,917.6876781,864.3760335,353.6869468,536.2907614,277.6354426,557.832726,716.7357942,239.5935899,52.6468775,5.240188294,0,26.59140989,23.62856383,1.950333146,22.95706189,0,4.223231357,0.747092482,3.941346038,15.17756524,65.20294526,79.35945878,0,61.11648179,70.11449784,12.12938127,35.83361483,11.45807,0.862348831,51.74230419,14.17580843,0,27.15450888,0,1.946873367,1.154044777,0,10.71830455,2.037976573,0,81.57405718,95.27270586,36.36303815,1,1,1,0,0,0,1,0,0,0,0,0,0,ENSMUSG00000058656
Tubb2a,#N/A,0.593566534,#N/A,#N/A,1.047551516,0.679219731,-0.849538787,2349.729839,1228.971001,2709.29401,1966.100097,1797.568494,1850.840146,2197.710267,2544.77832,3035.9158,2170.714844,550.2224653,877.9879264,668.9973722,341.9095589,836.606665,764.293161,849.0450294,894.0500212,885.0648858,1190.951243,1140.81022,1135.895928,5383.57167,3250.682319,3722.77256,3053.645971,3946.838061,5020.645584,6475.068034,5942.237156,4501.979866,3364.885137,7875.178698,8333.01272,1030.302972,927.5980235,1102.927669,1315.112959,1089.418269,1364.466179,844.6023988,1314.49489,1344.84143,1116.658205,1255.059112,1535.328278,1,1,1,0,1,1,1,1,1,0,1,1,0,ENSMUSG00000058672
Fcer1g,#N/A,6.592532406,#N/A,-2.610650483,1.636897943,1.061998556,2.132046078,1064.617829,6273.398403,1086.763768,449.6931072,33.3655405,4807.954722,2958.099473,9581.621335,1841.520083,48.19253552,58.99540657,1483.022042,551.9665003,20.05334656,0,4.543954584,34699.67722,78978.66985,27577.95856,25119.78011,21998.13813,16117.74049,939.223449,2112.785758,133.2831936,347.5066766,36.45544528,102.93405,417.452872,3305.906922,4967.594165,1286.624455,65.54025198,129.9449106,31365.03977,30251.20908,23770.17225,18215.92065,21107.47896,22727.0419,1164.007874,3872.15549,12204.21397,6860.378209,24.13575215,14.1411815,1,1,1,0,0,1,1,1,1,0,1,1,1,ENSMUSG00000058715
Kcnt1,#N/A,-5.53733512,#N/A,2.682641911,1.590772613,-0.816976939,-0.816072816,0,0,19.71047229,0,1.042673141,51.776852,0,0,0,0,176.9862197,130.4022658,189.5201433,231.6161528,493.986576,506.1965406,9.751665729,1.275392327,24.87301787,0,3.73546241,0,1653.461813,1459.704645,2232.239136,688.3941785,1723.055899,1056.93876,2444.070326,1037.127195,392.6993081,766.6281104,946.8841667,694.6146129,0,29.3268696,27.05294281,29.2031005,47.31583584,1.622433031,113.6140283,191.5697979,0,360.7386084,76.21816468,120.2000428,1,0,0,0,1,0,1,1,1,0,0,0,1,ENSMUSG00000058740
Thra,#N/A,-4.381126648,#N/A,2.942446359,-0.429461365,-0.737604013,-1.335996163,580.0984257,406.0529797,397.7931681,428.7771487,456.6908355,546.209326,323.010862,259.7234786,238.1110431,293.2567055,1022.185718,888.5173019,963.3212814,1213.227467,1033.996746,747.0261335,28.60488614,76.52353962,74.6190536,15.20363288,56.77902863,34.68384513,1534.719685,1229.391016,1051.004114,1613.975454,756.986599,827.2018947,1009.770991,802.6729721,658.3182035,1088.284224,563.128744,562.3070676,57.12365269,81.46352665,111.3332647,98.31710501,77.32100003,93.28989931,730.9883705,746.9184142,495.312104,512.1038034,867.6167747,641.9086318,1,1,1,0,1,1,1,1,1,0,1,1,1,ENSMUSG00000058756
Pirb,4.917392321,3.578364804,#N/A,#N/A,3.422518706,2.645234941,2.739393769,0.946326959,0,2.687791676,3.485993079,10.42673141,23.33604597,136.0045735,294.2679806,72.96951321,5.12686548,0,173.3297198,0,0,7.15922574,1.817581833,400.4684059,251.2522884,333.7129897,495.8073613,418.3717899,282.2003763,0,52.58302037,6.104573753,49.64381095,1.072218979,12.68028152,12.12938127,75.76249992,197.9121181,143.1499059,9.486089102,9.450538951,398.8269569,380.1631244,467.1835124,446.8074376,571.2521644,582.4534583,28.93942229,210.9305754,361.1239643,400.6192586,2.540605489,12.12101272,1,0,0,1,0,1,1,0,0,0,1,0,0,ENSMUSG00000058818
