Genes,DT_GBLog2FC,DT_GB-Padj,M_Log2FC,S_Log2FC,GB_log2FC,SHAM-1 DTGB,SHAM-2 DTGB,SHAM-3 GTGB,Double_Therapy-GB-1 Counts,Double_Therapy-GB-2 Counts,Double_Therapy-GB-3 Counts,H1,H2,H3,H4,M1,M2,M3,M4,S-SHAM-1,S-SHAM-2,S-SHAM-3,STROKE-1,STROKE-2,STROKE-3,GB-SHAM-1,GB-SHAM-2,GB-SHAM-3,GB-1,GB-2,GB-3,rMSG,M_Control_Exp,Meningitis_Exp,M_UP,M_DOWN,S_Control_Exp,Stroke_Exp,S_UP,S_DOWN,GB_Control_Exp,Glioblastoma_Exp,GB_UP,GB_DOWN,GB-Control_Exp,DT-GB_Exp,Regulated_DT-GB,UP-DT_GB,DOWN-DT_GB,GeneID
Tfe3,0.453178724,0.112223718,0.909428376,0.34869781,0.618059188,230.25267,279.6533198,263.1283509,338.3662057,349.1082037,370.5014266,707.2826734,917.1671241,687.0927356,825.6148465,1424.471012,1389.352946,1453.105686,1623.153945,697.471319,818.1070904,787.6999041,981.7510794,1036.534725,915.7857123,213.3417333,262.051797,243.522208,355.2644197,415.21729,332.2102629,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000000134
Axin2,-0.181648031,0.563919688,-2.279812408,-1.158731589,-0.916939821,1101.528773,1217.763092,1034.717283,943.8136019,1110.259083,907.2643134,1300.163341,1224.343934,1914.717771,1528.071677,343.4727792,315.222269,267.3814419,302.4910207,2179.975291,1987.083386,1605.776533,812.8852354,607.1951569,1165.207024,1020.626852,1141.116462,957.6187309,521.7536497,650.0606174,479.6408529,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000000142
Slfn4,4.989577003,3.82E-15,12.92505927,4.04731456,5.766341558,3.684042719,3.389737209,2.542302907,110.2541569,117.5568441,83.55271351,0,0,0,0,1295.080582,911.1219009,1028.29405,1444.233724,1.00645212,2.644742749,3.14241983,34.93776083,45.89821658,31.64300225,3.413467732,3.176385418,2.352871575,230.725232,89.29404085,176.9167081,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,ENSMUSG00000000204
Mid2,-0.525756574,0.040578731,-0.539852094,-0.60887088,-0.899934802,682.4689138,705.9127738,603.7969404,512.3016429,514.1627626,360.3738249,488.5274859,564.6119213,753.8430331,676.912946,338.7676726,450.1633088,433.5577585,486.5600248,578.7099688,444.3167819,494.4073866,302.7939272,317.4626647,373.2012913,632.3448974,661.4822634,558.806999,338.2222151,298.2420964,357.7648985,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,ENSMUSG00000000266
Dgke,-0.330764249,0.162099222,-1.412137811,-0.639762014,-0.549189005,735.8875332,813.5369302,794.4696584,598.7941281,596.0963207,667.5777413,579.7398962,525.3421586,569.5541684,536.4215798,202.3195823,198.6332106,232.3969541,198.2281583,681.368085,538.6459399,552.0184168,376.163225,358.5798171,402.0522639,681.8401795,762.3325004,735.2723671,460.1395252,528.6207218,499.298265,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000000276
Itgb2,2.929814871,1.01E-17,1.975654295,2.220023198,3.333826144,58.94468351,104.2344192,71.18448139,738.512758,279.0490744,771.3856581,102.0342217,188.4948609,127.6962212,132.2808318,457.5716134,669.3075575,488.5333821,545.7710331,103.6645683,196.5925444,174.9280372,917.6985179,574.6839202,724.9970222,54.61548371,97.67385161,65.88040409,658.0912868,744.7123007,806.9367628,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,ENSMUSG00000000290
Mcts1,0.052188644,0.95188361,-0.320095253,0.563306965,0.990202233,193.4122428,205.0791012,162.707386,256.6260549,134.1810443,190.7364975,479.2516475,405.7875478,388.8930373,448.8425464,348.1778858,329.2561372,339.8493093,362.9892249,259.6646469,309.4349017,249.2986399,335.402504,480.0188485,393.6761751,179.2070559,192.1713178,150.5837808,443.0973206,291.9915136,306.6556273,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000000355
Tbrg4,0.316261416,0.650330293,1.009130511,0.781734764,1.43978701,112.3633029,92.37033895,74.99793575,138.768163,127.0563871,84.39668031,258.1775005,228.637285,268.4522832,228.0703996,465.8055499,472.8334035,502.277288,541.9094456,265.7033596,282.9874742,261.8683192,570.6500936,423.6022906,402.0522639,104.1107658,86.55650265,69.40971145,259.565886,215.1986384,234.9060735,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000000384
Lck,4.336236055,8.77E-09,4.184390912,1.461499401,4.624621189,5.526064079,4.237171511,0,90.29435265,35.62328609,84.39668031,13.14077098,13.96258229,12.33429409,14.59650557,204.6721356,163.0087761,374.833797,238.1312291,9.058069077,15.8684565,7.332312937,31.44398475,31.5550239,26.98961957,5.120201598,3.970481773,0,65.54694091,65.18464982,110.0815072,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,ENSMUSG00000000409
Itga5,0.160670547,0.717535082,1.509301874,1.510769298,1.20704226,632.7343371,736.4204087,474.1394921,729.9585562,631.7196068,702.1803802,1058.991544,1139.695779,1155.070364,1301.825841,3008.915648,2847.795704,3668.373427,3727.719132,1157.419938,1231.56854,1470.652481,3761.63225,4391.885599,2844.147497,586.263083,690.0697321,438.8105487,1388.284209,1323.337685,1256.108627,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000000555
Wdr77,0.326782399,0.490147246,0.497973334,0.700961643,0.731630569,175.9130399,203.3842325,183.0458093,206.2513108,194.7406307,302.9840823,253.5395813,308.9221331,343.1835945,395.9302137,448.1614003,384.3120814,497.279504,508.442354,247.5872214,247.7242375,262.9157925,391.3029213,443.6827603,396.4682047,162.9930842,190.5831251,169.4067534,321.1800105,245.5586123,303.7070155,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000000561
Cd52,4.432772113,2.26E-13,2.130610247,2.17090069,4.675852285,1.84202136,4.237171511,8.898060174,119.7588256,70.05912932,114.7794852,72.66073366,123.9179178,38.4539757,88.49131504,248.1943713,403.7435912,359.8404451,400.317904,39.25163267,82.86860614,93.22512163,401.7842496,265.8271711,303.400551,1.706733866,3.970481773,8.235050511,108.8079219,108.9387298,116.9616014,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,ENSMUSG00000000682
Polr3d,0.19357972,0.758333165,1.648559777,0.859345352,0.735576741,163.939901,183.0458093,200.8419296,159.6784342,198.3029593,266.6935098,158.4622383,175.40494,216.21292,198.8773884,571.6704476,489.0263283,600.9835212,688.6497706,172.1033125,215.1057436,174.9280372,393.6321054,346.1490501,282.9256672,151.8993141,171.5248126,185.8768544,300.2049894,266.0962417,281.1009917,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000000776
Tcf7,-0.101177415,0.823898164,-2.554024744,-0.49508036,-0.602002966,617.0771555,673.7102703,573.2893055,586.4380588,640.0317068,514.8197499,1872.946358,2229.649859,2136.735065,2634.669256,431.6935273,431.8113274,308.6131595,337.2453082,1618.375008,1264.187034,1411.993977,903.7234135,1102.513411,1038.635015,571.7558451,631.3066019,530.5725401,300.2049894,463.436072,376.4394399,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000000782
Usp32,-0.408494497,0.019878998,-0.36801886,-0.464439757,-0.659085245,1821.759125,1758.426177,1991.894328,1429.502172,1417.806787,1349.502918,977.8279583,814.1930797,1028.09969,943.2991727,755.1696036,629.3650097,738.4225801,795.4870247,1041.677944,992.6601119,1001.384453,751.1618579,665.5241405,783.629644,1687.959793,1647.749936,1843.474879,1042.196361,1074.207311,1161.75305,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,ENSMUSG00000000804
Car4,-0.152802331,0.715447207,-1.239818366,-0.588799817,-1.214224425,3805.616129,3560.918938,4184.630585,2906.527688,4550.281077,2936.160508,10737.55586,15730.59427,6894.870398,15528.85737,5205.024137,5417.073103,4846.600995,5232.45106,5865.602954,5888.960522,4663.351028,3723.200713,3305.627807,3888.366571,3526.112167,3336.792882,3872.826612,1542.974989,1770.70083,1312.132251,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000000805
Dlg3,-0.803149222,0.000122081,0.562455743,-0.51095344,-0.701011359,697.2050847,670.3205331,907.6021377,456.2240976,448.8534048,397.5083643,342.433032,279.2516458,436.7791202,340.2810362,498.7412958,494.4239699,595.9857372,478.8368498,377.4195449,439.0272964,398.0398452,294.641783,238.0969985,320.1527287,645.9987683,628.1302165,839.9751521,532.2411602,340.2102956,429.5144523,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,ENSMUSG00000000881
Mmp14,1.054073381,5.93E-05,1.071286412,0.64106355,2.121615462,552.6064079,670.3205331,572.018154,1208.043392,802.71138,1714.096577,320.0164227,371.7537534,290.9442312,288.2809851,674.0065154,519.2531212,610.9790891,867.5699913,425.7292466,583.6065667,711.2343549,894.4066773,926.5702473,861.8064731,512.0201598,628.1302165,529.3961043,2439.657141,2344.861513,2486.662619,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,ENSMUSG00000000957
Ilf2,0.068080001,0.895568046,0.519230801,0.541956957,0.576160549,366.5622506,405.9210308,369.9050729,403.9484198,390.6687042,403.4161319,1096.094897,1343.898545,1149.265991,1346.527639,1791.469324,1729.404366,1737.979372,1812.371733,939.0198277,1102.857726,1088.324735,1615.289143,1484.042336,1460.231486,339.6400393,380.3721538,342.3428141,610.8974893,477.7231185,498.3153944,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000001016
S100a6,0.62205797,0.134334999,0.730117042,1.034144437,1.460139092,130.7835165,148.3010029,129.6574482,287.0409947,154.3675731,187.3606303,717.3314983,821.1743709,784.3159949,900.4219375,1039.828551,1283.559171,1944.13796,1078.670108,732.6971432,722.8963515,1172.122597,1847.042956,1673.37248,1858.561044,121.1781045,138.966862,119.9964503,410.3238501,342.8891169,295.8440507,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000001025
Icam2,-0.263746372,0.441746212,-0.523855581,0.732961021,-0.584729663,595.8939099,800.8254157,587.2719715,588.3389925,575.9097919,491.1886794,5803.582854,7306.793844,4717.504717,7024.568307,4409.861128,4617.142619,3875.781461,4380.327419,2716.414271,2583.913666,2695.148741,4333.446935,4966.56952,3987.94896,552.1284057,750.4210551,543.5133337,340.8440927,473.2584165,415.7542639,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,ENSMUSG00000001029
Lgals9,0.617976309,0.017251264,2.95267623,0.557451588,0.736809426,574.7106642,657.6090186,485.5798552,1036.008888,944.0170815,661.6699737,4849.717479,6040.562163,4750.879866,5776.567081,44289.16809,35725.91018,39261.34134,46524.40618,2095.433313,1929.780626,2252.067545,2722.816161,3968.283309,2545.400328,532.5009662,616.2187711,449.3984708,911.1024787,937.5874289,818.7312101,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,ENSMUSG00000001123
Timp1,1.727123546,0.019367804,3.71331771,3.411594447,3.909089554,13.8151602,20.33842325,19.0672718,87.44295204,20.18652879,67.51734425,21.64362279,17.45322786,96.49771261,16.42106877,566.965341,474.9924602,468.5422462,490.4216123,58.37422294,113.7239382,155.026045,1009.701288,1542.37132,926.9538307,12.800504,19.05831251,17.64653681,403.769156,114.2963723,227.0431087,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,ENSMUSG00000001131
Ramp2,-0.460359381,0.040783726,-2.733237164,0.372974946,-1.092112864,3676.674634,4386.319949,3123.219121,2878.964149,2999.480689,2256.767232,12658.42739,15196.5255,16386.47248,17742.96481,2161.996466,3373.525996,1840.433943,1943.665708,8231.771887,6402.922196,7144.815221,8749.579905,9845.167457,9607.37389,3406.640797,4110.242731,2890.502729,1352.88886,1914.464236,1612.890655,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,ENSMUSG00000001240
Lsr,-0.053096668,0.921448786,-1.018924122,-0.285293744,-0.671705211,726.6774264,879.6368058,621.5930607,708.0978182,796.7741657,647.322538,2989.138905,3778.623832,4728.387918,4451.9342,1832.639007,2554.164002,1707.992668,1773.755858,3295.12424,3029.112029,3458.75676,2799.679235,2596.117876,2631.953246,673.3065101,824.272016,575.2771,323.8018881,558.9806957,416.7371345,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000001247
Snd1,0.199361664,0.458088111,0.666662847,0.761719518,0.773176422,1087.713613,1275.388625,1091.919098,1289.783543,1326.373686,1352.878785,1599.309127,1786.337872,1460.52553,1549.966436,2506.645522,2407.34815,2566.362063,2672.218549,1284.232905,1532.187633,1445.513122,2569.090013,2378.101347,2282.018868,1007.826348,1195.115014,1010.558341,2115.855253,1571.575119,1809.464775,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000001424
Tubb6,0.458359132,0.528728533,4.410593183,2.892379206,2.72081222,60.78670487,46.60888663,53.38836104,81.74015082,83.12100089,56.54577581,100.4882487,119.5546108,236.5282279,251.7897211,3852.306,2721.490891,2547.620374,5942.98316,226.4517269,181.6056688,842.1685145,3671.958664,3968.283309,1640.782734,56.32221758,43.6752995,49.41030307,327.7347046,433.0760981,223.1116263,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000001473
Fkbp10,-0.149553744,0.840413721,-0.611238801,1.026232036,1.302147562,223.8055952,233.0444331,179.2323549,257.5765218,137.7433729,178.0769955,346.2979647,484.3270731,568.103075,345.7547258,249.3706479,290.3931177,321.1076194,281.8958874,459.9486187,609.1724132,504.8821194,1078.412218,1051.83413,1078.654106,207.3681647,218.3764975,165.877446,620.074061,420.5749324,424.6000993,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000001555
Ifrd1,0.532236931,0.02364271,3.199068966,0.682117763,0.695926033,519.4500234,484.7324209,414.3953738,598.7941281,777.7750797,679.3932765,599.837546,484.3270731,700.1525764,838.3867889,5727.290966,4463.849597,5612.511387,8281.817988,962.1682264,871.0019454,1593.206854,2025.225536,2015.696678,1455.578104,481.2989502,454.2231148,383.5180667,669.8897361,853.6510305,614.2941252,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,ENSMUSG00000001627
Eef1e1,0.280649351,0.767511625,1.78531874,1.702229361,1.03145397,72.75984371,78.81139011,49.57490668,76.0373496,115.1819584,55.70180901,154.5973057,157.9517121,159.6202765,185.1931645,568.1416177,439.3680257,617.226319,641.0235247,81.5226217,108.4344527,91.13017508,333.0733199,321.2875161,263.3814599,67.41598771,73.85096097,45.8809957,142.8923312,138.4057633,104.1842836,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000001707
Rin2,-0.193202726,0.47551743,0.367495383,-0.694995479,-0.73037739,2381.733618,2827.040832,2379.595521,2184.172867,2416.44624,2040.71173,2247.071838,2343.968502,1921.247692,2276.142588,2514.879459,2643.764852,3343.517469,2835.69242,2064.233298,2033.807174,2268.827117,1234.467549,1234.470784,1462.092839,2206.806889,2649.105439,2202.287794,1190.332447,1518.891635,1543.106842,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000001768
Rtcb,0.120235466,0.745101328,0.338015255,0.267137607,0.530822793,875.8811566,992.345568,913.957895,1118.699506,991.5147963,914.8600146,2725.550499,3358.873702,2484.27194,3184.77506,3579.409819,3664.998642,3843.295865,3766.335007,1890.117081,1977.385996,2058.284989,2425.845194,2381.926198,2323.899313,811.5519533,929.8868312,845.8573311,1347.645105,1267.08244,1125.386837,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000001783
Pwp1,0.071543394,0.915274737,0.358766153,0.701509489,0.62734577,186.965168,193.2150209,190.672718,189.1429071,224.4267024,187.3606303,486.9815128,613.4809593,465.8009887,507.2285687,675.182792,591.5815186,717.1819982,674.4906164,371.3808322,403.7640597,415.8468909,727.8700173,633.0129037,577.9501294,173.2334874,181.0539688,176.4653681,293.6502953,249.130374,278.1523799,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000001785
Uba1,-0.285320445,0.237902049,0.838942176,0.429779918,-0.432137509,2221.47776,2778.737077,2224.515043,2100.531783,2055.463608,1775.706154,5673.721118,7229.999641,6026.390984,6481.760756,10786.4568,10444.43648,11643.58718,12579.76487,4458.58289,4693.536799,4939.883973,6426.218809,6573.963313,5982.388779,2058.321042,2603.841947,2058.762628,1679.312626,1667.119743,1636.47955,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,ENSMUSG00000001924
Ssr4,0.303130581,0.524198703,0.303995253,1.016424138,0.836114346,160.2558583,147.4535686,137.284357,168.232636,207.8025022,174.7011282,1242.962338,1438.145976,1139.108337,1364.773271,1646.787298,1612.815308,1560.558041,1578.102091,784.0262013,963.5679416,897.6845982,1746.888042,1864.615049,1741.2958,148.4858463,138.1727657,127.055065,291.0284177,245.5586123,204.4370849,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000002014
Fam98a,0.115605271,0.858880245,0.536711585,0.416385455,0.712164471,170.3869758,193.2150209,181.7746578,188.1924403,181.6787591,220.2753356,385.7202776,431.0947282,444.0345873,544.6321142,669.3014088,585.1043487,704.6875383,659.0442664,390.5034224,415.2246116,394.8974253,607.9170385,528.7857036,468.130298,157.8728826,181.0539688,168.2303176,331.667521,286.6338711,214.2657909,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000002017
Spi1,2.083197908,4.91E-05,1.699303879,1.357357008,2.586984114,26.70930972,18.64355465,34.32108924,139.7186299,52.24748627,140.9424561,129.8617368,143.9891299,121.1663008,93.05272303,376.4085252,401.5845345,366.0876751,442.7953665,79.50971746,178.0793451,201.1148691,458.8492589,299.2946206,417.8737651,24.74764106,17.4701198,31.76376626,102.2532278,154.4786907,180.8481905,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,ENSMUSG00000002111
Napsa,1.642242039,0.20510866,1.787720485,1.03320656,2.769010593,6.447074759,5.932040116,5.084605814,24.71213862,9.499542959,20.25520328,71.1147606,90.75678488,334.4770339,77.54393586,486.9785294,603.4563301,443.5533264,449.2313457,93.60004713,115.4871,119.4119535,250.387286,191.2425691,231.7384577,5.973568531,5.558674482,4.705743149,27.52971518,39.28937797,44.22917701,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,ENSMUSG00000002204
Rmnd5a,-0.391633982,0.054742568,-0.689685808,-0.641155269,-0.819222568,2589.882032,2923.648343,2192.736257,1984.574825,2044.776622,1849.131266,2851.547303,3184.341423,2899.284658,3657.336928,1858.517093,1939.912388,2234.00943,1773.755858,3029.42088,2570.689952,2860.649519,1674.683336,1659.9855,2088.438149,2399.667816,2739.632423,2029.351733,1199.509019,1497.461065,1365.207264,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000002222
Ppm1j,1.143424722,0.313985719,1.646721501,2.336909551,1.85044398,9.210106799,14.40638314,12.71151453,29.46447297,13.06187157,37.13453934,28.60050155,43.63306965,28.29632174,38.31582713,121.156494,91.75990708,86.21177331,133.8683666,28.18065935,28.21058933,42.94640435,229.4246295,186.4615049,85.62224139,8.53366933,13.49963803,11.76435787,22.28595991,64.29170941,34.40047101,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,ENSMUSG00000002228
Ipo4,0.11757389,0.917011162,0.858586023,1.42476478,0.941588718,93.02207867,111.0138936,74.99793575,104.5513557,52.24748627,145.1622901,333.9301802,340.3379433,359.1456221,345.7547258,686.9455584,603.4563301,569.7473714,641.0235247,287.8453062,269.7637604,328.9066089,924.68607,829.9927499,625.4146328,86.19006023,104.0266224,69.40971145,214.9939662,163.4080948,123.8416956,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000002319
Snrpd1,0.139366204,0.845603566,0.615867914,1.126035566,1.116448295,209.990435,220.3329186,189.4015666,232.8643832,157.9299017,290.3245803,679.4551584,811.5750955,749.4897528,874.8780528,1124.520469,1135.663791,1185.724244,1327.098904,400.5679436,423.1588399,427.3690969,959.6238309,983.943018,788.2830267,194.5676607,206.4650522,175.2889323,496.8458121,448.2560851,307.6384979,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000002477
Lcp2,2.24990175,3.88E-10,3.100916787,1.538787718,3.246941928,46.97154467,38.1345436,62.28642122,285.140061,138.9308158,269.2254102,68.79580102,74.17621841,75.45685798,65.68427508,541.0872549,473.9129319,633.4691169,792.912633,62.40003142,96.97390081,101.6049078,289.9834149,235.22836,234.5304873,43.52171358,35.73433596,57.64535358,429.9879324,420.5749324,432.4630641,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,ENSMUSG00000002699
Ggct,1.085327473,0.005131961,1.911203759,0.689265299,2.547241072,65.39175827,49.99862383,76.26908721,144.4709642,147.2429159,113.0915516,95.07734298,103.8467058,142.2071554,104.9123838,392.8763981,417.7774593,432.3083125,438.933779,85.54843018,99.61864355,90.0827018,139.7510433,174.9869507,129.3640386,60.58905224,46.85168492,70.58614724,470.6270358,230.3786254,336.1417453,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,ENSMUSG00000002797
Epdr1,-0.810300067,0.014699198,-0.56034672,-0.560763728,-1.695396357,212.753467,170.3342948,211.0111413,95.99715387,131.8061586,111.403618,313.059544,308.9221331,311.2595392,292.8423931,216.434902,209.4284938,212.4058183,193.0793749,217.3936579,256.5400467,208.4471821,160.7136998,157.7751195,145.1855398,197.1277615,159.6133673,195.2883407,58.99224682,41.07525879,70.76668322,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,ENSMUSG00000002808
Mcm2,0.493181026,0.136748587,-1.320376592,0.665898927,1.744318358,174.0710185,210.163707,160.1650831,270.883058,245.8006741,251.5021073,439.0563481,513.9975605,333.7514872,375.8600185,149.3871334,216.985192,151.1829648,146.7403249,324.0775825,339.4086528,271.2955787,476.3181394,523.0484265,484.8824757,161.2863503,196.9358959,148.2309092,625.3178163,550.944232,526.8186418,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000002870
Il17ra,1.05618215,2.15E-05,2.650568579,0.953066644,1.40637679,170.3869758,160.1650831,167.7919919,371.6325462,384.7314898,281.0409454,299.1457865,333.3566521,625.4212652,312.9125882,2578.398397,2535.81202,2181.532698,2576.966057,530.4002671,990.0153691,867.3078731,1441.76493,2011.871827,1169.860407,157.8728826,150.084211,155.2895239,423.4332383,382.1784948,422.6343581,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,ENSMUSG00000002897
Lamb1,0.098343631,0.850232695,-0.420082874,0.916668093,1.297912376,727.5984371,928.7879953,724.5563284,962.8229393,673.2801072,912.3281142,426.6885636,584.6831333,465.8009887,490.8074999,431.6935273,304.4269858,347.3459852,387.4459457,480.0776611,939.7652569,785.6049575,1455.740035,1300.44947,1409.044277,674.1598771,870.3296046,670.5683988,2547.154124,1351.911778,1553.918419,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000002900
Relb,0.939545154,0.02044783,3.23589526,0.835355672,0.940053578,94.86410003,132.1997512,113.1324794,286.0905279,127.0563871,237.9986385,450.651146,569.8478897,194.4465186,323.8599674,3497.070454,3026.997405,3742.09074,4224.576723,432.7744115,457.5404956,649.4334316,1083.070586,951.4317813,712.8982272,87.8967941,123.8790313,104.7027851,114.0516772,266.9891821,224.0944969,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,ENSMUSG00000002983
Hmgn2,-0.249722325,0.697710941,-1.673216413,0.537070213,0.644347251,146.4406981,127.1151453,147.4535686,142.5700305,90.24565811,119.843286,892.0264537,1011.414555,871.3816003,967.0184942,221.1400085,329.2561372,259.8847659,362.9892249,502.2196077,573.0275957,526.8790582,726.7054253,842.4235169,755.7093479,135.6853423,119.1144532,136.4665513,216.304905,206.2692344,188.7111553,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000003038
Hck,2.819803723,5.36E-06,3.59899366,1.712919852,3.307098768,5.526064079,22.88072616,12.71151453,160.628901,48.68515766,82.70874671,35.5573803,47.99637662,41.35616255,38.31582713,384.6424616,494.4239699,486.0344901,611.4180206,25.16130299,72.28963515,56.56355694,197.9806447,142.475714,166.5911001,5.120201598,21.44060157,11.76435787,95.69853373,161.6222139,124.8245662,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,ENSMUSG00000003283
Fkbp11,0.846019415,0.641813661,0.909083889,1.773221062,2.260873658,12.89414952,17.79612035,2.542302907,19.0093374,35.62328609,6.751734425,30.1464746,21.81653483,18.13866778,16.42106877,42.34595908,44.26066106,37.4833797,38.61587498,10.0645212,23.80268474,36.66156469,79.19225789,81.27809187,80.03818217,11.94713706,16.67602345,2.352871575,76.03445146,39.28937797,38.33195341,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,ENSMUSG00000003355
Dusp3,-0.19450282,0.466124023,-1.16995378,-0.426405773,-1.115776419,3661.938463,4023.618067,3714.304547,2978.763171,3824.753484,3162.343611,4965.665458,5127.758346,5324.787314,6178.883265,2369.021155,2587.62938,2308.976189,2331.111653,4161.679515,3659.442384,4339.681785,2998.824471,2933.66101,3114.974369,3392.986926,3770.369491,3437.545371,1303.073185,2051.977059,1533.278136,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000003518
Ier3,0.199368633,0.868821921,3.016935643,0.546938004,1.304442664,43.28750195,63.55757267,45.76145232,83.64108456,46.31027192,45.57420737,812.4088412,988.7253583,905.4822957,1086.527384,8549.178628,5139.634325,7682.843392,9327.021005,1953.523564,2300.044611,2616.588245,3664.971111,3235.824269,3137.310606,40.10824585,59.55722659,42.35168834,97.00947255,193.7680686,59.95510662,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000003541
Has1,0.861599856,0.101028093,2.741322657,2.604798236,1.281937522,49.73457671,36.439675,52.11720959,72.23548212,93.80798672,84.39668031,3.091946113,0,0,3.649126393,5.881383206,12.95433982,8.74612193,16.73354583,7.045164838,0.881580916,4.189893107,27.95020867,27.73017252,16.75217766,46.08181438,34.14614325,48.23386728,108.8079219,129.4763592,72.73242442,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000003665
Farsa,0.316695807,0.39183753,0.79357586,0.722087369,1.340567956,223.8055952,215.2483128,224.9938073,294.6447297,245.8006741,285.2607795,374.8984662,461.6378769,432.4258399,470.7373047,744.5831138,723.2839735,705.9369843,840.5388788,414.6582733,416.9877735,470.3155012,711.565729,764.0140636,671.0177831,207.3681647,201.7004741,208.2291344,605.653734,476.8301781,482.5894647,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000003808
