Genes,DT_GBLog2FC,DT_GB-Padj,M_Log2FC,S_Log2FC,GB_log2FC,SHAM-1 DTGB,SHAM-2 DTGB,SHAM-3 GTGB,Double_Therapy-GB-1 Counts,Double_Therapy-GB-2 Counts,Double_Therapy-GB-3 Counts,H1,H2,H3,H4,M1,M2,M3,M4,S-SHAM-1,S-SHAM-2,S-SHAM-3,STROKE-1,STROKE-2,STROKE-3,GB-SHAM-1,GB-SHAM-2,GB-SHAM-3,GB-1,GB-2,GB-3,rMSG,M_Control_Exp,Meningitis_Exp,M_UP,M_DOWN,S_Control_Exp,Stroke_Exp,S_UP,S_DOWN,GB_Control_Exp,Glioblastoma_Exp,GB_UP,GB_DOWN,GB-Control_Exp,DT-GB_Exp,Regulated_DT-GB,UP-DT_GB,DOWN-DT_GB,GeneID
Set,0.083169262,0.861210845,0.341709853,0.620383167,0.456620265,1097.84473,1273.693756,1226.661153,1190.934988,1090.072555,1527.579914,1561.432787,1533.266068,1689.072744,1792.633341,2151.409977,1975.536823,1975.37411,2231.997574,1263.09741,1250.96332,1288.39213,1978.641855,2094.106132,1772.938803,1017.213384,1193.526821,1135.260535,1599.345358,1710.873823,1281.663263,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000054766
Usp46,-0.320917445,0.238040752,-1.253122271,-0.477459092,-0.891673078,1015.87478,1257.592505,999.1250424,927.6556651,952.3291816,743.5347536,2056.917152,2281.136881,2027.903058,2568.984981,923.3771633,964.0187885,1027.044604,832.8157038,1355.691005,1096.68666,1454.940381,810.5560513,1039.403363,953.9434503,941.2637271,1178.43899,924.6785288,490.291118,597.3771333,552.3732774,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000054814
Atrnl1,-0.261164654,0.321441443,0.580981681,0.586807292,-0.516853752,1385.200063,1485.552332,1244.457273,1194.736856,1245.62757,997.5687613,1162.571739,1296.77483,1301.6308,1295.43987,1716.187619,1794.176065,1922.897379,2131.596299,1134.271539,1146.055191,1186.787223,1902.943373,1976.491952,1329.006095,1283.463867,1392.05091,1151.730636,833.7570884,955.4462371,885.5664109,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,ENSMUSG00000054843
Rnd1,0.636216873,0.203916274,5.872448827,1.520224603,1.163262968,62.62872623,66.09987558,61.01526976,86.49248517,106.8698583,102.1199832,365.6226279,393.5702883,452.7411479,303.7897722,19690.87097,14789.53796,26045.95111,28319.59552,436.80022,700.8568285,1160.600391,2386.249065,2587.51196,1617.515821,58.02895144,61.93951566,56.46891779,119.2954325,151.7998694,123.8416956,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000054855
Miga1,-0.321624729,0.180624626,-0.782834779,-0.616832979,-0.454884253,1087.713613,1224.542567,1318.184057,1035.058421,1014.076211,855.7823384,635.3949263,636.1701555,671.130708,775.4393586,361.1169288,421.0160442,427.3105286,369.425204,665.2648511,742.2911316,641.0536454,436.7220104,437.9454832,461.6155623,1007.826348,1147.469232,1219.963911,895.3712129,768.8216917,799.073798,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000054942
Pdlim1,0.530974346,0.389474576,2.20661798,1.897612794,1.9058654,64.47074759,101.6921163,54.6595125,110.2541569,124.6815013,86.92858072,274.4102175,259.1804337,243.0581483,237.1932156,1251.558346,912.2014292,1079.521335,1439.084941,255.6388384,287.3953787,342.5237615,951.4716867,1636.080179,711.0368742,59.73568531,95.29156255,50.58673885,245.145559,289.3126924,241.7861677,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000055044
C1ra,1.14309445,0.005125003,3.835683974,0.611427476,0.837444654,95.78511071,182.198375,100.4209648,390.6418836,167.4294446,279.3530118,239.6258238,235.6185761,443.3090406,237.1932156,4282.82325,3915.449212,3833.300297,4493.600652,189.2129985,242.434752,240.9188536,273.6791265,371.0105841,381.5773801,88.75016103,170.7307162,92.9384272,226.7924156,164.3010352,241.7861677,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,ENSMUSG00000055172
Tmem245,-0.314687996,0.134866325,-1.140097731,-0.704182982,-0.469607053,2546.59453,2923.648343,2638.910417,2175.618665,2403.384369,1944.499514,1186.534321,1545.483327,1392.324139,1539.019056,655.1860891,663.9099159,660.9569287,588.2484956,1854.891257,1440.503217,1339.718321,949.1425026,901.7087133,993.9625414,2359.55957,2739.632423,2442.280694,2071.283333,1491.210482,1887.111553,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000055296
Pprc1,0.380801436,0.252834266,2.235450329,1.061389545,1.422290829,300.2494816,240.6713418,279.6533198,344.0690069,409.6677901,315.6435844,254.3125678,293.2142281,338.8303142,309.2634618,1289.199199,1223.105585,1658.014829,1462.254466,326.0904868,416.1061925,438.8913029,867.6210607,914.1394803,684.0472546,278.1976202,225.5233647,258.8158732,726.2601053,693.8146974,623.1399606,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000055491
Epm2a,-0.442198755,0.115224394,-0.889645057,-0.712652476,-1.413177895,326.9587914,343.2108924,372.4473759,257.5765218,246.9881169,261.629709,541.0905698,510.5069149,393.2463175,483.5092471,250.5469246,288.2340611,293.6198076,207.2385291,360.3098589,317.3691299,274.4379985,177.0179882,153.9502681,249.4213119,302.9452612,321.6090236,344.6956857,77.34539028,125.0116572,159.2250372,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000055493
