Genes,EC-Log2fC,PC-Log2fC,AC-Log2fC,MC-Log2fC,M_Log2FC,S_Log2FC,GB_log2FC,Contra-Endo-1,Contra-Endo-2,Contra-Endo-3,Contra-Endo-4,Contra-Endo-5,Ipsi-Endo-1,Ipsi-Endo-2,Ipsi-Endo-3,Ipsi-Endo-4,Ipsi-Endo-5,Contra-Peri-1,Contra-Peri-2,Contra-Peri-3,Contra-Peri-4,Contra-Peri-5,Contra-Peri-6,Ipsi-Peri-1,Ipsi-Peri-2,Ipsi-Peri-3,Ipsi-Peri-4,Ipsi-Peri-5,Ipsi-Peri-6,Contra-Astro-1,Contra-Astro-2,Contra-Astro-3,Contra-Astro-4,Contra-Astro-5,Contra-Astro-6,Ipsi-Astro-1,Ipsi-Astro-2,Ipsi-Astro-3,Ipsi-Astro-4,Ipsi-Astro-5,Ipsi-Astro-6,Contra-MG-1,Contra-MG-2,Contra-MG-3,Contra-MG-4,Contra-MG-5,Contra-MG-6,Ipsi-MG-1,Ipsi-MG-2,Ipsi-MG-3,Ipsi-MG-4,Ipsi-MG-5,Ipsi-MG-6,H1,H2,H3,H4,M1,M2,M3,M4,S-SHAM-1,S-SHAM-2,S-SHAM-3,STROKE-1,STROKE-2,STROKE-3,GB-SHAM-1,GB-SHAM-2,GB-SHAM-3,GB-1,GB-2,GB-3,GeneID,MSG_Regulated,Control-EC-exp,EC-EXP,EC-Regulated,Control-PC-exp,PC-EXP,PC-Regulated,Control-AC-exp,AC-EXP,AC-Regulated,Control-MC-exp,MC-EXP,MC-Regulated
Sgtb,#N/A,-2.697352156,#N/A,2.523892938,-0.6307440072,-0.5657256257,-1.176821433,176.0168143,57.66432848,69.88258358,437.4921314,355.5515409,0.7292514366,83.45735191,76.76556017,89.29164116,191.744769,248.0215052,111.7733707,132.7514368,131.34942,295.5737484,302.6273753,5.200888389,14.0293156,45.60053276,24.49474187,32.12497672,67.79115185,203.5579338,147.232457,181.1023547,173.2017404,164.0495038,112.6307359,179.9191555,244.6923984,127.0804127,211.2754635,142.2913365,223.2689827,32.19696788,0,2.080995601,51.59214421,69.24268659,56.7851561,264.7421225,166.0950907,37.49374492,0.9063784131,450.9574744,298.9849804,271.3182714,308.0494717,301.8274319,288.2809851,175.2652195,182.4402858,197.4124664,200.8025499,281.8065935,216.8689054,227.301701,161.8782919,160.643758,167.5217766,323.4260676,278.7278205,425.869755,131.0938818,165.1939756,156.2764254,ENSMUSG00000042743,1,1,0,0,1,1,1,1,1,0,0,0,1
Apobr,#N/A,4.672478456,#N/A,-3.082264217,1.2052524,1.547225764,2.374822424,70.02819495,0,18.81454173,0,0,27.71155459,98.91241708,222.6201245,24.96325452,1.025373096,0,0,23.58084732,28.07468519,10.22746534,25.44614567,371.2134087,51.01569308,543.0608901,527.0592733,360.0985763,378.3692196,149.0972585,50.47969955,72.23745607,92.6684471,23.58881753,0,69.74394229,180.1918917,90.62291726,72.43730177,37.94435641,16.53844316,310.5449482,371.4736815,401.632151,304.6856819,385.4509554,192.2583142,0,69.2912035,4.93338749,106.9526527,0,50.50421966,13.14077098,16.58056647,31.9240553,18.24563197,28.23063939,62.61264248,38.73282569,55.34942081,24.15485087,47.60536949,49.23124401,140.9156354,94.66507171,119.1265967,11.94713706,11.91144532,9.411486298,48.50473628,57.14818614,67.81807142,ENSMUSG00000042759,1,0,0,0,0,1,1,0,1,0,1,0,1
9930038B18Rik,#N/A,#N/A,#N/A,#N/A,-3.398754879,-0.8148831335,-1.599446533,0,0,63.61106967,94.12181314,39.62157934,0,6.182026068,61.41244813,0,27.68507359,0,0,27.9476709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.449486946,1.181317369,0,0,0,19.46873367,0,0,0,0,0,0,0,0,79.61761242,78.53952537,67.47584415,32.84213754,3.528829923,14.03386814,3.74833797,2.574391666,86.5548823,89.03967256,102.6523811,47.74827314,38.24851382,71.66209334,62.29578611,83.38011723,63.52753251,9.176571728,18.75174858,40.29769461,ENSMUSG00000042976,1,0,0,0,0,1,0,0,0,0,0,0,0
Sbk1,#N/A,#N/A,#N/A,#N/A,-0.8757828796,-0.4406048512,-2.021495375,121.1298507,97.30855431,111.0953893,1.74299654,190.8091847,19.68978879,71.86605304,112.5894882,0,71.77611673,142.0705709,52.6468775,0,54.14403572,27.61415642,18.17581833,19.50333146,0,6.218254467,0,40.34299403,54.39057532,991.8985283,832.9150426,748.8277137,440.1751237,986.4414605,505.7194631,823.7871445,369.5981415,498.9468663,376.846439,942.572308,704.0651518,90.35923243,0,119.6572471,9.734366833,63.47246271,63.27488823,1.071830455,163.0381259,0,141.3950324,139.7333019,47.47396648,343.9790051,253.9444654,512.2359782,369.4740473,258.780861,219.1442487,173.6729926,154.4634999,319.0453219,298.8559307,280.7228382,225.9308534,212.2792517,224.2930454,352.4405433,246.9639663,323.5198415,53.74849155,66.07759023,106.1500248,ENSMUSG00000042978,1,0,0,0,0,1,0,1,0,0,0,0,0
Notum,#N/A,#N/A,#N/A,#N/A,-4.241212594,-1.186064947,-1.437500825,642.556005,38.44288565,264.2995148,297.18091,717.3591207,152.4135503,207.8706265,48.61818811,78.73026425,324.0178984,22.87576989,0,0,0,13.29570494,16.3582365,0,0,0,0,2.988369928,0,8.927979553,29.44649141,21.36600813,52.95339834,7.505532852,16.40977609,22.23719899,9.214358098,10.41642727,4.311744153,37.08198467,57.88455107,2.077223734,1.086180355,0,0,18.46471642,9.734598189,0,0,0,19.03394667,0,7.575632948,656.2655625,732.1629088,476.6841893,604.8426997,35.28829923,39.94254779,27.48781178,27.03111249,741.7552122,602.1197659,504.8821194,244.5643258,226.6224444,340.6276125,79.36312477,90.52698442,76.46832617,23.59689873,41.07525879,25.55463561,ENSMUSG00000042988,1,1,1,0,0,1,0,0,0,0,0,0,0
Tuba1c,#N/A,-1.124477786,#N/A,2.203182846,3.405744386,1.841940942,1.448517399,605.6492536,1138.870488,547.4135714,913.3301867,227.3027446,1426.41581,1322.180825,1682.445194,1781.992323,846.9581774,3925.000518,4807.874844,3551.974299,4413.741579,2273.565546,2209.270719,1311.273985,2215.356472,1285.105923,1489.111376,1762.391165,1651.42399,64.28145278,127.2509093,13.22657646,50.74700675,27.87769345,211.8352913,107.1428679,411.5746617,329.1591018,187.1296963,149.1903104,309.5051506,791.4222427,703.8448703,423.4826048,771.9352898,718.9698958,1555.913277,4942.210229,4737.276545,4366.047928,3920.086637,2446.603086,2461.070624,282.9130694,300.1955192,408.4827985,332.0705018,3093.607566,2890.976837,3163.597247,4887.482577,254.6323863,255.6584658,559.3507298,1406.82717,1490.735826,934.399243,46.08181438,71.46867191,44.70455992,166.4892299,177.6951413,101.2356718,ENSMUSG00000043091,1,1,1,0,1,1,1,1,1,0,1,1,1
Exoc3l,#N/A,#N/A,#N/A,#N/A,-1.676201351,0.68142507,1.883698052,247.9376632,0,301.9285983,128.9817439,188.7238384,145.8502873,312.1923164,298.1062586,173.7826565,246.0895431,1.203987889,0,0,0,0,12.72307283,0,0,22.80026638,7.601816442,0,3.941346038,0,10.51660407,15.26143438,18.75432858,8.577751831,8.950786958,8.086254179,2.047635133,0,0,2.58711521,4.725269475,0,0,0,0,12.69449254,8.923381673,0,35.66459004,0,96.07611179,0,30.30253179,157.6892518,179.768247,99.39989945,58.38602229,48.22734229,43.18113274,37.4833797,25.74391666,118.7613501,115.4871,114.1745872,187.4993165,214.1916774,157.2843347,50.34864905,25.41108335,24.70515153,94.38759491,132.1551805,145.4648488,ENSMUSG00000043251,1,0,1,0,0,1,0,0,0,0,0,0,0
Tmem64,#N/A,1.405220661,#N/A,-1.198510248,-0.6426458526,-0.4051179552,-0.6818553707,239.4207206,677.5558597,155.8919172,196.0871107,304.460557,263.9890201,325.3291218,195.7521784,515.5872183,230.7089466,222.7377595,73.70562851,157.2056488,96.25606351,41.9326079,100.8757918,178.7805384,292.0648429,172.0383736,201.0258126,484.1159283,502.9157544,145.5260667,113.579324,79.35945878,216.2263766,88.99417524,416.9574924,117.2506856,84.97685801,196.8704754,93.99602254,114.695441,291.7853901,933.7120685,420.3517975,435.9685784,304.6856819,300.0516419,497.2757241,197.2168038,113.1076998,197.3354996,86.10594924,116.8678525,546.9606989,1368.959142,1826.480296,1537.433481,1354.738174,903.3804604,952.143977,1153.238649,890.7395163,1069.858603,1459.016417,1195.167009,911.8755577,933.2637372,967.9035983,588.8231838,824.272016,618.8052241,361.8191138,409.8596475,494.383912,ENSMUSG00000043252,1,1,1,0,1,1,1,1,1,0,1,1,1
Fam13c,#N/A,-5.595617445,#N/A,3.215697306,-1.616528448,-0.5074782797,-0.6516004534,1772.470394,1452.420274,1579.525575,1041.440432,2423.172379,1314.111089,1183.085239,566.7857192,866.9930319,1745.18501,260.061384,455.1930024,482.0973231,295.7868618,535.9191839,517.1020316,22.7538867,3.826176981,0,6.757170171,2.241277446,14.18884574,873.1564003,617.3246591,768.1588639,701.632528,749.4810662,500.4981707,957.2103384,592.790371,476.0307263,582.0854607,630.3937394,394.5600012,17.65640174,72.77408381,27.05294281,35.0437206,5.770223883,12.16824774,264.7421225,232.3293294,142.0815597,151.365195,373.469007,417.1648544,1886.087129,2342.223179,1591.123938,2310.809289,885.7363108,997.4841664,406.0699467,360.4148332,3013.317646,3214.244021,2383.001705,2099.759426,1834.972451,2123.803857,1478.884895,1653.30861,1701.126148,815.4039449,1355.48354,902.2752111,ENSMUSG00000043259,1,1,1,0,1,1,1,1,1,0,0,1,1
Ifi209,#N/A,4.935614124,#N/A,#N/A,3.45660045,3.581593547,4.159676526,0,27.63082406,8.959305588,0,10.42673141,2.18775431,0,74.20670816,41.28538247,0,0,0,44.5416005,0,0,0,138.4736533,369.8637748,308.8399718,260.1510516,121.7760746,170.2661488,0,16.82656652,0,0,0,13.42618044,38.40970735,48.11942562,63.54020635,25.87046492,1.724743473,10.63185632,84.12756123,101.0147731,69.71335263,113.8920919,65.78055226,103.0244975,0,23.43673059,192.4021121,32.62962287,0,0,12.36778445,24.43451901,10.88320067,17.33335037,108.217451,119.8276434,228.6486162,252.2903832,9.058069077,9.697390081,3.14241983,89.67358614,98.48992309,78.1768291,19.62743946,19.05831251,19.99940838,267.4315189,288.4197519,490.4524296,ENSMUSG00000043263,1,0,0,0,0,1,1,0,0,0,1,0,0
