Genes,M_Log2FC,S_Log2FC,GB_log2FC,H-GBM_log2FC,H1,H2,H3,H4,M1,M2,M3,M4,M_AdjP,S-SHAM-1,S-SHAM-2,S-SHAM-3,STROKE-1,STROKE-2,STROKE-3,S_AdjP,GB-SHAM-1,GB-SHAM-2,GB-SHAM-3,GB-1,GB-2,GB-3,GB_AdjP,Mus_GeneID,H-GB-Control-1,H-GB-Control-2,H-GB-Control-3,H-GBM-1,H-GBM-2,H-GBM-3,H-GBM-4,H-GBM-5,H-GBM-6,H-GBM_Padj_Value,MSG_Genes,M_Control_Exp,Meningitis_Exp,M_UP,M_DOWN,S_Control_Exp,Stroke_Exp,S_UP,S_DOWN,GB_Control_Exp,Glioblastoma_Exp,GB_UP,GB_DOWN,H-Control-GBM,H-GBM,H-GBM-Regulated,HBM-UP,HBM-DOWN
Tfe3,0.909428376,0.34869781,0.618059188,#N/A,707.2826734,917.1671241,687.0927356,825.6148465,1424.471012,1389.352946,1453.105686,1623.153945,6.55E-11,697.471319,818.1070904,787.6999041,981.7510794,1036.534725,915.7857123,0.040485659,213.3417333,262.051797,243.522208,355.2644197,415.21729,332.2102629,0.022270049,ENSMUSG00000000134,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Axin2,-2.279812408,-1.158731589,-0.916939821,#N/A,1300.163341,1224.343934,1914.717771,1528.071677,343.4727792,315.222269,267.3814419,302.4910207,2.59E-39,2179.975291,1987.083386,1605.776533,812.8852354,607.1951569,1165.207024,2.33E-05,1020.626852,1141.116462,957.6187309,521.7536497,650.0606174,479.6408529,9.84E-06,ENSMUSG00000000142,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Slfn4,12.92505927,4.04731456,5.766341558,#N/A,0,0,0,0,1295.080582,911.1219009,1028.29405,1444.233724,7.70E-34,1.00645212,2.644742749,3.14241983,34.93776083,45.89821658,31.64300225,1.89E-07,3.413467732,3.176385418,2.352871575,230.725232,89.29404085,176.9167081,2.71E-20,ENSMUSG00000000204,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0
Mid2,-0.539852094,-0.60887088,-0.899934802,#N/A,488.5274859,564.6119213,753.8430331,676.912946,338.7676726,450.1633088,433.5577585,486.5600248,0.011393148,578.7099688,444.3167819,494.4073866,302.7939272,317.4626647,373.2012913,0.003181123,632.3448974,661.4822634,558.806999,338.2222151,298.2420964,357.7648985,2.24E-05,ENSMUSG00000000266,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Dgke,-1.412137811,-0.639762014,-0.549189005,#N/A,579.7398962,525.3421586,569.5541684,536.4215798,202.3195823,198.6332106,232.3969541,198.2281583,1.28E-27,681.368085,538.6459399,552.0184168,376.163225,358.5798171,402.0522639,0.000430231,681.8401795,762.3325004,735.2723671,460.1395252,528.6207218,499.298265,0.011174141,ENSMUSG00000000276,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Itgb2,1.975654295,2.220023198,3.333826144,#N/A,102.0342217,188.4948609,127.6962212,132.2808318,457.5716134,669.3075575,488.5333821,545.7710331,2.33E-20,103.6645683,196.5925444,174.9280372,917.6985179,574.6839202,724.9970222,5.87E-15,54.61548371,97.67385161,65.88040409,658.0912868,744.7123007,806.9367628,6.93E-42,ENSMUSG00000000290,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Mcts1,-0.320095253,0.563306965,0.990202233,#N/A,479.2516475,405.7875478,388.8930373,448.8425464,348.1778858,329.2561372,339.8493093,362.9892249,0.049939416,259.6646469,309.4349017,249.2986399,335.402504,480.0188485,393.6761751,0.02395324,179.2070559,192.1713178,150.5837808,443.0973206,291.9915136,306.6556273,0.000431426,ENSMUSG00000000355,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0
Tbrg4,1.009130511,0.781734764,1.43978701,#N/A,258.1775005,228.637285,268.4522832,228.0703996,465.8055499,472.8334035,502.277288,541.9094456,8.66E-14,265.7033596,282.9874742,261.8683192,570.6500936,423.6022906,402.0522639,0.000262687,104.1107658,86.55650265,69.40971145,259.565886,215.1986384,234.9060735,6.18E-07,ENSMUSG00000000384,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Lck,4.184390912,1.461499401,4.624621189,9.303296058,13.14077098,13.96258229,12.33429409,14.59650557,204.6721356,163.0087761,374.833797,238.1312291,4.73E-39,9.058069077,15.8684565,7.332312937,31.44398475,31.5550239,26.98961957,0.020790288,5.120201598,3.970481773,0,65.54694091,65.18464982,110.0815072,9.04E-12,ENSMUSG00000000409,0,0,0,53.91759703,385.6606106,0,0,64.0777426,0,0.026284938,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0
Itga5,1.509301874,1.510769298,1.20704226,3.151568047,1058.991544,1139.695779,1155.070364,1301.825841,3008.915648,2847.795704,3668.373427,3727.719132,2.58E-28,1157.419938,1231.56854,1470.652481,3761.63225,4391.885599,2844.147497,5.80E-14,586.263083,690.0697321,438.8105487,1388.284209,1323.337685,1256.108627,8.67E-09,ENSMUSG00000000555,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.030052683,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0
