Genes,EC-Log2fC,PC-Log2fC,AC-Log2fC,MC-Log2fC,M_Log2FC,S_Log2FC,GB_log2FC,Contra-Endo-1,Contra-Endo-2,Contra-Endo-3,Contra-Endo-4,Contra-Endo-5,Ipsi-Endo-1,Ipsi-Endo-2,Ipsi-Endo-3,Ipsi-Endo-4,Ipsi-Endo-5,Contra-Peri-1,Contra-Peri-2,Contra-Peri-3,Contra-Peri-4,Contra-Peri-5,Contra-Peri-6,Ipsi-Peri-1,Ipsi-Peri-2,Ipsi-Peri-3,Ipsi-Peri-4,Ipsi-Peri-5,Ipsi-Peri-6,Contra-Astro-1,Contra-Astro-2,Contra-Astro-3,Contra-Astro-4,Contra-Astro-5,Contra-Astro-6,Ipsi-Astro-1,Ipsi-Astro-2,Ipsi-Astro-3,Ipsi-Astro-4,Ipsi-Astro-5,Ipsi-Astro-6,Contra-MG-1,Contra-MG-2,Contra-MG-3,Contra-MG-4,Contra-MG-5,Contra-MG-6,Ipsi-MG-1,Ipsi-MG-2,Ipsi-MG-3,Ipsi-MG-4,Ipsi-MG-5,Ipsi-MG-6,iMSG,Control-EC-exp,EC-EXP,EC-Regulated,Control-PC-exp,PC-EXP,PC-Regulated,Control-AC-exp,AC-EXP,AC-Regulated,Control-MC-exp,MC-EXP,MC-Regulated,GeneID
Ccl5,4.912685681,11.18571843,#N/A,#N/A,3.032139192,2.011864034,5.127543832,0,0,8.063375029,0,0,54.69385775,91.95763776,89.55982019,8.641126564,3.076119288,0,0,0,0,0,0,412.8205158,1091.735832,302.6217174,435.837476,106.8342249,124.5465348,14.28476728,11.56826448,0,0,0,5.221292392,17.18329013,39.92888509,47.91556545,23.28341843,19.83454994,85.05485055,72.70283069,62.99846061,46.82240102,47.69839748,103.8640299,51.10664049,33.22674411,38.7215549,86.82761982,127.7993562,13.97333019,22.22185665,1,0,0,1,0,1,1,0,1,0,1,1,0,ENSMUSG00000035042
Ifi206,#N/A,8.429024407,#N/A,#N/A,1.458190391,2.800593958,5.098973164,0,0,0,0,0,0,0,5.117704011,0,0,0,0,0,0,0,0,18.85322041,93.10363987,109.8558289,87.84321222,45.5726414,12.61230732,0,0,0,0,0,0,0,6.142905399,49.9988509,1.724697661,0.862371737,0,40.50586281,23.89596782,20.80995601,21.41560703,23.08089553,8.112165157,0,2.037976573,0,20.8467035,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,ENSMUSG00000037849
Ccr7,#N/A,8.701071654,#N/A,#N/A,2.903867563,2.076225279,5.976257239,14.19490438,73.28175078,14.33488894,0,0,0,63.36576719,180.3990664,27.84363004,5.12686548,0,0,0,0,0,0,37.70644082,24.23245421,43.52778127,83.61998086,83.67435798,167.9013412,68.74544256,4.206641629,0,14.34154538,0,0,0,54.26233102,0,6.036441815,0,0,104.8997986,53.22283741,79.07783284,49.64527085,126.9449254,64.89732126,0,49.93042605,679.8207961,467.6912611,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,ENSMUSG00000037944
Trem1,#N/A,6.625602766,#N/A,#N/A,5.966124779,4.850433207,6.384576496,69.08186799,0,0,0,0,45.94284051,139.0955865,397.9014869,39.36513213,2.050746192,0,24.29855885,0,0,0,0,343.9087447,388.9946597,165.8201191,484.8269597,446.0142117,608.5438282,0,66.25460566,0,1.103195799,0,23.12286631,22.23719899,198.6206079,228.1197572,149.1863477,25.8711521,21.26371264,98.66812737,229.184055,64.51086363,185.9264065,93.4776269,141.1516737,0,140.6203836,655.1538586,358.9258516,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,ENSMUSG00000042265
Trem6l,#N/A,8.663556344,#N/A,-3.404361895,4.205538625,2.685290313,2.993764536,0,0,5.375583353,0,0,0,157.6416647,345.4450207,0,7.177611673,0,8.909471578,0,1.002667328,0,0,414.770849,493.5768305,497.4603573,1350.589388,721.6913376,781.9630539,0,42.06641629,0,0,0,0,6.064690634,38.90506752,80.20648999,15.52227895,5.174230419,1.181317369,600.3176592,926.5118431,475.5074948,776.8024733,492.7771196,579.2085922,0,79.48108636,5.920064988,278.2581728,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,ENSMUSG00000043740
Tlr1,#N/A,6.78526396,#N/A,#N/A,2.229040398,1.524474357,2.798295208,52.99430969,0,25.08605565,0,0,39.37957758,142.1865996,340.3273167,0,0,0,28.34831866,31.44112976,0,0,0,1077.884119,682.3348949,1618.818913,899.548279,990.6446311,1366.858806,27.67673661,33.65313304,28.48801085,0,12.86662775,2.237696739,0,106.4770269,119.7889136,96.58306903,15.52269126,4.725269475,557.7345726,847.2206772,710.6599977,666.804128,679.7323734,597.0553556,84.67460597,92.72793409,480.5119415,244.7221715,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,ENSMUSG00000044827
Cd300lf,#N/A,7.154673017,#N/A,-2.836289476,5.382836115,2.616660259,5.283459083,15.14123134,115.328657,27.77384732,0,0,120.326487,210.1888863,310.9005187,22.082879,10.25373096,0,38.06774219,0,0,0,0,715.1221534,933.5871833,451.8598246,1165.611854,875.5923889,1332.174961,7.142383642,134.6125321,3.052286876,0,2.144437958,12.68028152,12.12938127,244.6923984,217.70333,123.3158828,8.623717365,20.08239527,693.7927272,779.8774952,1039.457303,941.3132727,1132.117926,610.0348198,37.51406594,103.9368052,246.6693745,338.9855265,0,0.505042197,1,0,1,0,0,1,1,0,0,0,1,0,1,ENSMUSG00000047798
Gpr55,#N/A,#N/A,#N/A,#N/A,2.713916181,2.316742149,4.451173079,0,3.60402053,0,0,13.55475083,0,37.09215641,14.07368603,42.24550765,41.01492384,0,0,0,0,0,0,0,0,0,21.96080305,0,0,11.60637342,14.7232457,1.017428959,0,27.87769345,29.83595653,7.075472407,0,0,14.65993012,18.9721782,57.88455107,0,0,4.161991202,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSMUSG00000049608
Mmp12,11.0428866,13.836238,10.46001759,4.075429922,1.823344885,3.346332412,4.036011867,0,0,0,0,0,188.1468707,284.3731991,1084.95325,353.326064,0,0,0,0,3.008001985,0,0,5060.464402,12080.51612,6686.696303,13930.75095,2147.143793,2822.792032,0,0,0,0,0,0,48.51752507,449.4559117,709.3586971,290.6115559,0,12.99449106,52.96920522,34.75777137,50.98439222,61.32651105,18.46471642,13.79068077,177.9238556,602.2220775,1143.55922,1919.709479,0,72.22103411,1,0,0,1,0,1,1,0,0,1,1,0,1,ENSMUSG00000049723
Treml4,#N/A,#N/A,#N/A,#N/A,3.46408365,3.119556484,2.971886844,0,52.85896777,0,0,0,0,0,94.67752421,0,0,0,21.86870296,0,0,0,0,4.55077734,0,37.3095268,65.88240916,50.05519629,40.20172958,0,0,0,0,0,0,0,25.59543916,22.91614,0,0,16.53844316,12.4633424,4.344721422,0,0,0,45.42812488,0,46.87346119,38.48042242,135.956762,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSMUSG00000051682
Cd177,#N/A,7.465795768,#N/A,#N/A,4.170061912,2.653511529,5.601941909,0,0,0,0,0,0,38.63766292,162.4871024,0.960125174,0,0,0,0,0,0,0,18.85322041,51.01569308,29.01852084,31.25191204,47.81391885,10.2474997,0,47.32471833,0,0,4.288875915,0,0,38.90506752,73.95663362,5.174092984,2.58711521,0,0,57.56755884,29.13393841,0,0,0,4.287321821,24.45571888,0,171.3055201,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,ENSMUSG00000052212
Trim30b,7.657932393,5.205768724,#N/A,#N/A,7.035342896,3.182395699,3.017712947,0,0,0,0,0,83.13466378,0,80.60383817,19.20250348,0,0,12.95923139,0,1.002667328,0,0,67.61154905,169.6271795,74.6190536,49.83413001,85.16854294,87.49788204,0,0,0,0,0,10.44258478,18.1940719,31.73834456,44.79063726,2.587046492,0,2.362634738,14.54056614,47.79193564,32.25543182,58.406201,117.7125672,72.1982699,0,16.30381259,57.22729488,132.3312483,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,ENSMUSG00000052749
Gpr141,#N/A,5.470052775,#N/A,6.413383375,5.544773972,2.445430701,5.064501429,0.946326959,0,0,0,0,0,0,52.45646611,0,0,0,0,0,0,0,0,0.650111049,0,20.72751489,0,14.19475716,11.82403811,23.21274684,0,0,0,0,0,0,51.19087832,59.37363544,0,1.724743473,0,0,0,0,0,0,0.811216516,0,21.39875402,54.26726239,57.10184002,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,ENSMUSG00000053101
Il2rb,#N/A,#N/A,#N/A,#N/A,1.849781188,1.401331349,4.473823211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.051660407,0,0,0,0,0,0,14.58299818,0,9.486089102,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSMUSG00000068227
Runx3,7.231903014,5.845277157,#N/A,-4.64694772,2.246053876,3.343069184,4.849371848,0,0,0,0,0,76.57140085,3.863766292,46.0593361,9.601251738,0,0,0,0,0,0,0,0,0,20.72751489,10.13575526,20.17149701,10.2474997,0,4.206641629,2.034857918,0,0,0,0,5.119087832,8.333141817,0,0,0,0,6.517082132,21.85045381,8.76093015,9.232358212,0.811216516,0,0,0,0,0,1.010084393,1,0,0,1,0,0,1,0,0,0,0,0,1,ENSMUSG00000070691
Treml2,#N/A,9.977265821,#N/A,-3.92295918,3.474196607,1.564119833,3.101619797,5.677961753,168.1876247,0,0,0,0,47.91070202,19.19139004,0,1.025373096,0,0,0,0,0,0,193.0829814,44.63873144,159.6018646,241.5688336,232.3457619,197.8555711,0,28.394831,16.27886334,0,0,0,0,24.57162159,19.79121181,11.2105348,4.311858683,0,303.2746652,229.184055,259.0839523,322.2075422,245.8115374,371.5371642,35.37040502,5.094941434,38.48042242,35.34875811,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,ENSMUSG00000071068
I830077J02Rik,#N/A,6.997239538,#N/A,-4.292778958,1.687621473,2.061485164,2.883149477,93.68636892,8.409381237,69.88258358,0,0,7.292514366,40.18316944,44.7799101,48.00625869,0,0,28.34831866,0,0,0,0,738.5261512,266.5569963,339.9312442,610.6792542,990.6446311,722.8428633,31.24792844,67.30626607,21.36600813,17.65113278,8.577751831,0.745898913,3.032345317,132.0724661,59.37363544,31.0445579,1.724743473,7.087904213,1836.265781,1332.743296,1262.123832,1613.958021,1694.137732,1903.925162,90.03375824,31.58863689,264.4295695,106.0462743,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,ENSMUSG00000074342
Sirpb1c,#N/A,#N/A,#N/A,#N/A,2.51700801,3.656633196,7.404540048,10.40959655,70.87907043,0,0,3.128019422,0,21.63709124,93.3980982,23.04300417,0,0,34.01798239,15.72056488,0,0,0,25.35433089,34.43559283,49.74603573,51.52342255,29.88369928,18.13019177,0,8.413283259,0,0,0,0,2.021563545,23.54780403,39.58242363,0.862348831,0.862371737,1.181317369,16.61778987,7.603262488,10.404978,14.60155025,11.54044777,8.923381673,16.07745683,29.55066032,59.20064988,108.7654096,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,ENSMUSG00000074677
Slfn1,#N/A,4.329099688,#N/A,#N/A,6.842925991,3.743153542,6.439692949,11.35592351,0,0,0,0,0,17.00057169,92.1186722,2.880375521,3.076119288,0,8.099519616,0,0,0,0,1.300222097,3.826176981,80.83730807,45.61089865,11.20638723,26.80115306,7.142383642,14.7232457,0,0,0,0,5.053908862,9.214358098,41.66570908,8.623488307,5.174230419,0,8.308894936,30.41304995,0,4.867183416,0,0,0,31.58863689,44.40048741,161.3353575,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,ENSMUSG00000078763
4930430E12Rik,#N/A,9.368335584,#N/A,#N/A,5.194909249,2.880110471,7.007995264,0,0,0.895930559,0,0,0,17.00057169,134.3397303,0,3.076119288,0,0,0,1.002667328,0,0,200.234203,116.0607018,219.7116578,169.7739005,118.7877046,156.8655723,0,0,9.156860629,6.619174793,0,0,8.086254179,33.78597969,46.87392272,60.36441815,0,16.53844316,30.11974414,19.5512464,10.404978,78.84837135,68.08864181,49.48420746,0,56.04435577,146.0282697,195.7777372,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,ENSMUSG00000085295
Slfnlnc,#N/A,6.857111202,#N/A,#N/A,2.118459485,2.364419441,5.43983856,0,0,5.375583353,0.87149827,0,18.96053735,20.09158472,33.26507607,23.04300417,0,0,3.239807846,0,0,0,0,76.71310373,132.640802,76.69180509,68.41634798,40.34299403,33.10730672,9.820777508,2.103320815,0,0,0,3.729494566,1.010781772,9.214358098,10.41642727,0,0,0,64.39393576,27.15450888,70.75385043,54.51245426,32.31325374,60.84123868,0,20.37976573,47.3605199,12.68929778,0,9.595801734,1,0,0,0,0,1,1,0,0,0,1,0,0,ENSMUSG00000087107
2700038G22Rik,#N/A,2.96059684,#N/A,-2.282037346,2.00531923,1.870644456,3.910880016,98.41800371,156.174223,41.2128057,1.74299654,35.45088678,0,30.13737708,35.82392808,45.12588317,52.2940279,6.019939446,21.86870296,0,40.10669313,29.65964949,15.44944558,83.86432527,1.275392327,72.54630211,137.6773422,239.8166867,344.4736437,12.49917137,8.413283259,40.69715835,48.54061515,28.94991243,38.04084457,54.58221571,39.92888509,35.41585272,61.22676698,31.90775425,33.07688633,81.01172563,181.3921193,117.5762515,256.9872844,223.8846866,325.2978228,37.51406594,21.39875402,0.986677498,69.79113781,67.32604547,46.96892428,1,0,0,0,0,0,1,0,1,0,1,0,1,ENSMUSG00000097180
9530053H05Rik,7.712259938,4.09120612,#N/A,#N/A,1.893430925,2.151001333,3.505768604,0,0,0,0,0,59.7986178,38.63766292,52.45646611,30.72400556,8.202984769,0,18.62889512,0,0,0,0,46.8079955,53.56647773,68.40079913,37.16443594,64.24995345,54.39057532,0,9.464943666,4.069715835,0,0,0,3.032345317,44.02415536,67.70677726,0,0.862371737,8.269221582,14.54056614,27.15450888,27.05294281,8.76093015,0,18.65797986,0,80.50007465,259.496182,253.7859557,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,ENSMUSG00000141856
